vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,34.0025,-3.9878,8.667e-16,0,0,1.82371e+07,1
1,72.094,0,0.1,33.6425,-0.01043,0,0,1.494,1.82578e+07,1
2,73.588,0,0.1,32.9346,0.00115,0,0,2.988,1.82803e+07,1
3,75.082,0,0.1,32.2155,0.0016025,0,1,4.482,1.83036e+07,1
4,76.576,0,0.1,31.4832,0.009405,0,0,5.976,1.83274e+07,1
5,78.07,0,0.1,30.7928,0.0207875,0,0,7.47,1.8352e+07,1
6,79.564,0,0.1,30.0786,0.0155125,0,0,8.964,1.83775e+07,1
7,81.058,0,0.1,29.368,-0.037975,0,0,10.458,1.84038e+07,1
8,82.552,0,0.1,28.8361,-0.0349702,5.05e-34,0,11.952,1.84308e+07,1
9,84.046,0,0.1,28.3416,0.0472835,0,0,13.446,1.84585e+07,1
10,85.54,0,0.1,27.6633,0.0472834,1.2e-34,0,14.94,1.84869e+07,1
11,87.034,0,0.1,26.8482,0.0162673,0,0,16.434,1.85158e+07,1
12,88.528,0,0.1,25.9769,0.00288279,0,0,17.928,1.85454e+07,1
13,90.022,0,0.1,25.0865,0.000294928,0,0,19.422,1.85754e+07,1
14,91.516,0,0.1,24.1874,1.84446e-05,0,0,20.916,1.86058e+07,1
15,93.01,0,0.1,23.2822,7.21436e-07,0,0,22.41,1.86366e+07,1
16,94.504,0,0.1,22.3727,1.88125e-08,0,0,23.904,1.86676e+07,1
17,95.998,0,0.1,21.4606,3.28e-10,0,0,25.398,1.86987e+07,1
18,97.492,0,0.1,20.5478,4.75e-12,0,0,26.892,1.87299e+07,1
19,98.986,0,0.1,19.6364,1e-12,0,0,28.386,1.87611e+07,1
20,100.48,0,0.1,18.7283,3.09167e-20,0,0,29.88,1.87923e+07,1
21,101.974,0,0.1,17.8253,2.5e-13,0,0,31.374,1.88233e+07,1
22,103.468,0,0.1,16.9295,5.09543e-20,0,0,32.868,1.88542e+07,1
23,104.962,0,0.1,16.0429,2.5e-12,0,0,34.362,1.88848e+07,1
24,106.456,0,0.1,15.167,-2.5e-12,0,0,35.856,1.8915e+07,1
25,107.95,0,0.1,14.3039,2.5e-12,0,0,37.35,1.89448e+07,1
26,109.444,0,0.1,13.4551,2.5e-12,0,0,38.844,1.89742e+07,1
27,110.938,0,0.1,12.6224,2.11229e-20,0,0,40.338,1.90031e+07,1
28,112.432,0,0.1,11.8074,2.5e-12,0,0,41.832,1.90314e+07,1
29,113.926,0,0.1,11.0113,-2.5e-12,0,0,43.326,1.9059e+07,1
30,115.42,0,0.1,10.236,-4.73544e-20,0,0,44.82,1.9086e+07,1
31,116.914,0,0.1,9.48242,2.5e-12,0,0,46.314,1.91124e+07,1
32,118.408,0,0.1,8.75201,-2.5e-12,0,0,47.808,1.91378e+07,1
33,119.902,0,0.1,8.04589,2.5e-12,0,0,49.302,1.91625e+07,1
34,121.396,0,0.1,7.36512,5.3416e-20,0,0,50.796,1.91862e+07,1
35,122.89,0,0.1,6.71065,8.2374e-20,0,0,52.29,1.92092e+07,1
36,124.384,0,0.1,6.08337,1.13185e-19,0,0,53.784,1.92312e+07,1
37,125.878,0,0.1,5.48406,2.91697e-20,0,0,55.278,1.92522e+07,1
38,127.372,0,0.1,4.9134,2.99109e-20,0,0,56.772,1.92723e+07,1
39,128.866,0,0.1,4.37199,5.29396e-23,0,0,58.266,1.92914e+07,1
40,130.36,0,0.1,3.86036,-2.5e-12,0,0,59.76,1.93094e+07,1
41,131.854,0,0.1,3.37893,2.5e-12,0,0,61.254,1.93263e+07,1
42,133.348,0,0.1,2.92804,-1.05879e-22,0,0,62.748,1.93422e+07,1
43,134.842,0,0.1,2.50796,-5.29396e-23,0,0,64.242,1.9357e+07,1
44,136.336,0,0.1,2.11887,2.5e-12,0,0,65.736,1.93707e+07,1
45,137.83,0,0.1,1.76089,6.81862e-20,0,0,67.23,1.93834e+07,1
46,139.324,0,0.1,1.43404,5.29396e-23,0,0,68.724,1.93949e+07,1
47,140.818,0,0.1,1.13828,2.5e-12,0,0,70.218,1.94054e+07,1
48,142.312,0,0.1,0.87346,-2.5e-12,0,0,71.712,1.94148e+07,1
49,143.806,0,0.1,0.63936,-2.5e-12,0,0,73.206,1.9423e+07,1
50,145.3,0,0.1,0.43564,2.5e-12,0,0,74.7,1.94302e+07,1
51,146.794,0,0.1,0.261818,0,0,0,76.194,1.94364e+07,1
52,148.288,0,0.1,0.117232,5.29396e-23,0,0,77.688,1.94415e+07,1
53,149.782,0,0.1,0.000891425,2.5e-12,0,0,79.182,1.94456e+07,1
54,151.276,0,0.1,-0.0881801,5.29396e-23,0,0,80.676,1.94488e+07,1
55,152.77,0,0.1,-0.154159,-2.5e-12,0,0,82.17,1.9451e+07,1
56,154.264,0,0.1,-0.201613,1.05879e-22,0,0,83.664,1.94527e+07,1
57,155.758,0,0.1,-0.236057,-2.75e-12,0,0,85.158,1.94539e+07,1
58,157.252,0,0.1,-0.263193,0,0,0,86.652,1.94548e+07,1
59,158.746,0,0.1,-0.287589,1.11597e-19,0,0,88.146,1.94556e+07,1
60,160.24,0,0.1,-0.311464,0,0,0,89.64,1.94564e+07,1
61,161.734,0,0.1,-0.334977,6.17275e-20,0,0,91.134,1.94572e+07,1
