vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,50.6,40,0.1,29.8657,3.60483,6.37911e-16,0,0,1.83983e+07,1
1,50.788,40,0.1,30.0533,1.38237,0,0,0.188,1.8401e+07,1
2,50.976,40,0.1,29.9483,0.617908,0,0,0.376003,1.84045e+07,1
3,51.164,40,0.1,29.8087,0.281805,0,0,0.564003,1.8408e+07,1
4,51.352,40,0.1,29.6711,0.12764,0,0,0.752003,1.84116e+07,1
5,51.54,40,0.1,29.5414,0.0601725,0,0,0.940002,1.84152e+07,1
6,51.728,40,0.1,29.4175,0.030695,0,0,1.128,1.84187e+07,1
7,51.916,40,0.1,29.2966,0.0161575,0,0,1.316,1.84224e+07,1
8,52.104,40,0.1,29.1772,0.0079725,0,0,1.504,1.8426e+07,1
9,52.292,40,0.1,29.0587,0.00312,0,0,1.692,1.84296e+07,1
10,52.48,40,0.1,28.9414,0.000165,0,0,1.88,1.84332e+07,1
11,52.668,40,0.1,28.825,-0.001615,0,0,2.068,1.8437e+07,1
12,52.856,40,0.1,28.7092,-0.00262,0,0,2.256,1.84406e+07,1
13,53.044,40,0.1,28.594,-0.0030925,0,0,2.444,1.84444e+07,1
14,53.232,40,0.1,28.4793,-0.0031675,0,0,2.632,1.8448e+07,1
15,53.42,40,0.1,28.3649,-0.0029925,0,0,2.82,1.84518e+07,1
16,53.608,40,0.1,28.2508,-0.0026825,0,0,3.008,1.84555e+07,1
17,53.796,40,0.1,28.1371,-0.0023175,0,0,3.196,1.84592e+07,1
18,53.984,40,0.1,28.0234,-0.0019525,0,0,3.384,1.8463e+07,1
19,54.172,40,0.1,27.9099,-0.00162,0,0,3.572,1.84668e+07,1
20,54.36,40,0.1,27.7964,-0.0013325,0,0,3.76,1.84706e+07,1
21,54.548,40,0.1,27.6828,-0.00109,0,0,3.948,1.84744e+07,1
22,54.736,40,0.1,27.5692,-0.0008825,0,0,4.136,1.84782e+07,1
23,54.924,40,0.1,27.4554,-0.0007025,0,0,4.324,1.8482e+07,1
24,55.112,40,0.1,27.3413,-0.000545,0,0,4.512,1.84858e+07,1
25,55.3,40,0.1,27.2271,-0.000405,0,0,4.7,1.84897e+07,1
26,55.488,40,0.1,27.1127,-0.000285,0,0,4.888,1.84936e+07,1
27,55.676,40,0.1,26.998,-0.0001925,0,0,5.076,1.84974e+07,1
28,55.864,40,0.1,26.8831,-0.000135,0,0,5.264,1.85014e+07,1
29,56.052,40,0.1,26.7679,-0.000115,0,0,5.452,1.85052e+07,1
30,56.24,40,0.1,26.6523,-0.00015,0,0,5.64,1.85092e+07,1
31,56.428,40,0.1,26.5365,-0.0002475,0,0,5.828,1.8513e+07,1
32,56.616,40,0.1,26.4203,-0.000415,0,0,6.016,1.8517e+07,1
33,56.804,40,0.1,26.3037,-0.000665,0,0,6.204,1.85208e+07,1
34,56.992,40,0.1,26.1868,-0.0009925,0,0,6.392,1.85248e+07,1
35,57.18,40,0.1,26.0693,-0.00139,0,0,6.58,1.85288e+07,1
36,57.368,40,0.1,25.9515,-0.0018475,0,0,6.768,1.85327e+07,1
37,57.556,40,0.1,25.8333,-0.0023475,0,0,6.956,1.85367e+07,1
38,57.744,40,0.1,25.7147,-0.0028625,0,0,7.144,1.85407e+07,1
39,57.932,40,0.1,25.5956,-0.0033875,0,0,7.332,1.85447e+07,1
40,58.12,40,0.1,25.4761,-0.00391,0,0,7.52,1.85487e+07,1
41,58.308,40,0.1,25.3564,-0.00441,0,0,7.708,1.85527e+07,1
42,58.496,40,0.1,25.2365,-0.004885,0,0,7.896,1.85567e+07,1
43,58.684,40,0.1,25.1165,-0.005335,0,0,8.084,1.85607e+07,1
44,58.872,40,0.1,24.9965,-0.0057675,0,0,8.272,1.85648e+07,1
45,59.06,40,0.1,24.8766,-0.0062075,0,0,8.46,1.85688e+07,1
46,59.248,40,0.1,24.7572,-0.0066925,0,0,8.648,1.85728e+07,1
47,59.436,40,0.1,24.6381,-0.0072575,0,0,8.836,1.85769e+07,1
48,59.624,40,0.1,24.5196,-0.0079425,0,0,9.024,1.8581e+07,1
49,59.812,40,0.1,24.402,-0.00879,0,0,9.212,1.8585e+07,1
50,60,40,0.1,24.2853,-0.0098325,0,0,9.4,1.85892e+07,1
51,60.188,40,0.1,24.1696,-0.0110825,0,0,9.588,1.85932e+07,1
52,60.376,40,0.1,24.0552,-0.01253,0,0,9.776,1.85974e+07,1
53,60.564,40,0.1,23.9421,-0.01414,0,0,9.964,1.86014e+07,1
54,60.752,40,0.1,23.8304,-0.0158775,0,0,10.152,1.86056e+07,1
55,60.94,40,0.1,23.7201,-0.017705,0,0,10.34,1.86096e+07,1
56,61.128,40,0.1,23.611,-0.0195875,0,0,10.528,1.86138e+07,1
57,61.316,40,0.1,23.503,-0.0215025,0,0,10.716,1.8618e+07,1
58,61.504,40,0.1,23.3958,-0.02342,0,0,10.904,1.86221e+07,1
59,61.692,40,0.1,23.2895,-0.02531,0,0,11.092,1.86262e+07,1
60,61.88,40,0.1,23.1838,-0.02713,0,0,11.28,1.86304e+07,1
61,62.068,40,0.1,23.0787,-0.0288225,0,0,11.468,1.86346e+07,1
62,62.256,40,0.1,22.9739,-0.030345,0,0,11.656,1.86387e+07,1
63,62.444,40,0.1,22.8692,-0.0316575,0,0,11.844,1.86429e+07,1
64,62.632,40,0.1,22.7643,-0.03272,0,0,12.032,1.86471e+07,1
65,62.82,40,0.1,22.6588,-0.03349,0,0,12.22,1.86513e+07,1
66,63.008,40,0.1,22.552,-0.03384,0,0,12.408,1.86555e+07,1
67,63.196,40,0.1,22.4437,-0.033575,0,0,12.596,1.86597e+07,1
68,63.384,40,0.1,22.3339,-0.0326625,0,0,12.784,1.86639e+07,1
69,63.572,40,0.1,22.2227,-0.03115,0,0,12.972,1.86681e+07,1
70,63.76,40,0.1,22.1102,-0.028955,0,0,13.16,1.86724e+07,1
71,63.948,40,0.1,21.9969,-0.0259775,0,0,13.348,1.86766e+07,1
72,64.136,40,0.1,21.883,-0.022145,0,0,13.536,1.86808e+07,1
73,64.324,40,0.1,21.769,-0.0173125,0,0,13.724,1.8685e+07,1
74,64.512,40,0.1,21.6554,-0.011475,0,0,13.912,1.86893e+07,1
75,64.7,40,0.1,21.543,-0.004935,0,0,14.1,1.86935e+07,1
76,64.888,40,0.1,21.4321,0.0026925,0,0,14.288,1.86978e+07,1
77,65.076,40,0.1,21.3232,0.011965,0,0,14.476,1.8702e+07,1
78,65.264,40,0.1,21.2169,0.022385,0,0,14.664,1.87063e+07,1
79,65.452,40,0.1,21.1136,0.0331488,0,0,14.852,1.87106e+07,1
80,65.64,40,0.1,21.0142,0.0435092,0,0,15.04,1.87148e+07,1
81,65.828,40,0.1,20.9187,0.0526548,0,0,15.228,1.8719e+07,1
82,66.016,40,0.1,20.8272,0.0598392,0,0,15.416,1.87233e+07,1
83,66.204,40,0.1,20.7395,0.064433,0,0,15.604,1.87276e+07,1
84,66.392,40,0.1,20.6551,0.0660745,0,0,15.792,1.87318e+07,1
85,66.58,40,0.1,20.5737,0.064694,0,0,15.98,1.87361e+07,1
86,66.768,40,0.1,20.4945,0.0603652,0,0,16.168,1.87404e+07,1
87,66.956,40,0.1,20.4168,0.0532982,0,0,16.356,1.87446e+07,1
88,67.144,40,0.1,20.3398,0.0438392,0,0,16.544,1.87488e+07,1
89,67.332,40,0.1,20.2629,0.032478,0,0,16.732,1.87531e+07,1
90,67.52,40,0.1,20.1854,0.019946,0,0,16.92,1.87574e+07,1
91,67.708,40,0.1,20.1068,0.00710275,0,0,17.108,1.87616e+07,1
92,67.896,40,0.1,20.0264,-0.0059845,0,0,17.296,1.87658e+07,1
93,68.084,40,0.1,19.944,-0.0187585,0,0,17.484,1.87701e+07,1
94,68.272,40,0.1,19.8594,-0.030795,0,0,17.672,1.87744e+07,1
95,68.46,40,0.1,19.7721,-0.0445816,0,0,17.86,1.87786e+07,1
96,68.648,40,0.1,19.6816,-0.0692536,0,0,18.048,1.87828e+07,1
97,68.836,40,0.1,19.5862,-0.13635,0,0,18.236,1.87871e+07,1
98,69.024,40,0.1,19.4839,-0.351939,0,0,18.424,1.87913e+07,1
