vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,50,0.6,0.1,4.6131,38.4397,8.02761e-16,0,0,1.81062e+07,1
1,50,0.988,0.1,0.755745,38.7327,0,0,0.388,1.81089e+07,1
2,50,1.376,0.1,0.135438,38.5883,0,0,0.776,1.81123e+07,1
3,50,1.764,0.1,0.02329,38.4596,0,0,1.164,1.81158e+07,1
4,50,2.152,0.1,0.0041975,38.343,0,0,1.552,1.81195e+07,1
5,50,2.54,0.1,0.0004175,38.2279,0,0,1.94,1.81232e+07,1
6,50,2.928,0.1,-0.0001375,38.1117,0,0,2.328,1.8127e+07,1
7,50,3.316,0.1,-0.0001125,37.9939,0,0,2.716,1.81308e+07,1
8,50,3.704,0.1,-4.25e-05,37.874,0,0,3.104,1.81348e+07,1
9,50,4.092,0.1,-1.5e-05,37.7518,0,0,3.492,1.81388e+07,1
10,50,4.48,0.1,-4e-05,37.6274,0,0,3.88,1.81429e+07,1
11,50,4.868,0.1,-0.0001125,37.5009,0,0,4.268,1.8147e+07,1
12,50,5.256,0.1,-0.00017,37.3723,0,0,4.656,1.81514e+07,1
13,50,5.644,0.1,-0.0001825,37.2414,0,0,5.044,1.81557e+07,1
14,50,6.032,0.1,-0.0001475,37.1082,0,0,5.432,1.81601e+07,1
15,50,6.42,0.1,-0.00011,36.9725,0,0,5.82,1.81646e+07,1
16,50,6.808,0.1,-0.000115,36.8345,0,0,6.208,1.81692e+07,1
17,50,7.196,0.1,-0.0002425,36.6941,0,0,6.596,1.81738e+07,1
18,50,7.584,0.1,-0.0005875,36.5513,0,0,6.984,1.81785e+07,1
19,50,7.972,0.1,-0.001175,36.4058,0,0,7.372,1.81833e+07,1
20,50,8.36,0.1,-0.001965,36.2576,0,0,7.76,1.81882e+07,1
21,50,8.748,0.1,-0.0028625,36.1063,0,0,8.148,1.81932e+07,1
22,50,9.136,0.1,-0.003775,35.9521,0,0,8.536,1.81982e+07,1
23,50,9.524,0.1,-0.00464,35.7953,0,0,8.924,1.82033e+07,1
24,50,9.912,0.1,-0.00544,35.6366,0,0,9.312,1.82085e+07,1
25,50,10.3,0.1,-0.006295,35.4769,0,0,9.7,1.82138e+07,1
26,50,10.688,0.1,-0.007425,35.3172,0,0,10.088,1.82192e+07,1
27,50,11.076,0.1,-0.00907,35.1586,0,0,10.476,1.82246e+07,1
28,50,11.464,0.1,-0.0113575,35.0022,0,0,10.864,1.82301e+07,1
