vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,40.2442,-4.70761,8.38553e-16,0,0,1.80137e+07,1
1,72.094,0,0.1,40.4798,-0.01134,0,0,1.494,1.80187e+07,1
2,73.588,0,0.1,40.277,0.0001125,0,0,2.988,1.80253e+07,1
3,75.082,0,0.1,40.0614,0.0048325,0,1,4.482,1.80328e+07,1
4,76.576,0,0.1,39.8742,0.01595,0,0,5.976,1.80414e+07,1
5,78.07,0,0.1,39.6783,0.01334,0,0,7.47,1.80508e+07,1
6,79.564,0,0.1,39.4586,-0.0405125,0,0,8.964,1.80614e+07,1
7,81.058,0,0.1,39.421,-0.0341388,0,0,10.458,1.80728e+07,1
8,82.552,0,0.1,39.4221,0.0561038,3.375e-34,0,11.952,1.80852e+07,1
9,84.046,0,0.1,39.2085,0.0511617,0,0,13.446,1.80984e+07,1
10,85.54,0,0.1,38.837,0.0162347,2.75e-35,0,14.94,1.81126e+07,1
11,87.034,0,0.1,38.391,0.00261183,0,0,16.434,1.81277e+07,1
12,88.528,0,0.1,37.907,0.000239275,0,0,17.928,1.81438e+07,1
13,90.022,0,0.1,37.3933,1.33019e-05,0,0,19.422,1.8161e+07,1
14,91.516,0,0.1,36.8512,4.78541e-07,0,0,20.916,1.8179e+07,1
15,93.01,0,0.1,36.2813,1.11447e-08,0,0,22.41,1.8198e+07,1
16,94.504,0,0.1,35.6842,1.7425e-10,0,0,23.904,1.82179e+07,1
17,95.998,0,0.1,35.0605,1.25e-12,0,0,25.398,1.82388e+07,1
18,97.492,0,0.1,34.4108,-7.5e-13,0,0,26.892,1.82604e+07,1
19,98.986,0,0.1,33.7361,1.32349e-22,0,0,28.386,1.8283e+07,1
20,100.48,0,0.1,33.0373,-1.25e-12,0,0,29.88,1.83064e+07,1
21,101.974,0,0.1,32.3153,-2.5e-13,0,0,31.374,1.83306e+07,1
22,103.468,0,0.1,31.5714,1.98656e-20,0,0,32.868,1.83557e+07,1
23,104.962,0,0.1,30.8069,-2.5e-13,0,0,34.362,1.83814e+07,1
24,106.456,0,0.1,30.0229,-2.5e-13,0,0,35.856,1.84078e+07,1
25,107.95,0,0.1,29.2209,1.25e-12,0,0,37.35,1.84348e+07,1
26,109.444,0,0.1,28.4025,1e-12,0,0,38.844,1.84624e+07,1
27,110.938,0,0.1,27.5692,7.5e-13,0,0,40.338,1.84906e+07,1
28,112.432,0,0.1,26.7225,2.5e-13,0,0,41.832,1.85193e+07,1
29,113.926,0,0.1,25.8643,-5e-13,0,0,43.326,1.85484e+07,1
30,115.42,0,0.1,24.9964,1e-12,0,0,44.82,1.85779e+07,1
31,116.914,0,0.1,24.1203,-5e-13,0,0,46.314,1.86077e+07,1
32,118.408,0,0.1,23.2379,-1e-12,0,0,47.808,1.86378e+07,1
33,119.902,0,0.1,22.351,-1.5e-12,0,0,49.302,1.8668e+07,1
34,121.396,0,0.1,21.4615,-5e-13,0,0,50.796,1.86984e+07,1
35,122.89,0,0.1,20.5711,5e-13,0,0,52.29,1.87288e+07,1
36,124.384,0,0.1,19.6817,1e-12,0,0,53.784,1.87594e+07,1
37,125.878,0,0.1,18.7952,1.54584e-20,0,0,55.278,1.87898e+07,1
38,127.372,0,0.1,17.9132,5e-13,0,0,56.772,1.882e+07,1
39,128.866,0,0.1,17.0375,0,0,0,58.266,1.88502e+07,1
40,130.36,0,0.1,16.1699,0,0,0,59.76,1.888e+07,1
41,131.854,0,0.1,15.312,-2.64698e-23,0,0,61.254,1.89096e+07,1
42,133.348,0,0.1,14.4656,-2.5e-12,0,0,62.748,1.89388e+07,1
43,134.842,0,0.1,13.6318,2.5e-12,0,0,64.242,1.89676e+07,1
44,136.336,0,0.1,12.8121,0,0,0,65.736,1.8996e+07,1
45,137.83,0,0.1,12.0074,-2.5e-12,0,0,67.23,1.90237e+07,1
46,139.324,0,0.1,11.2184,2.64698e-23,0,0,68.724,1.90508e+07,1
47,140.818,0,0.1,10.4457,4.67456e-20,0,0,70.218,1.90772e+07,1
48,142.312,0,0.1,9.68972,-2.5e-12,0,0,71.712,1.91028e+07,1
49,143.806,0,0.1,8.95182,-5.29396e-23,0,0,73.206,1.91276e+07,1
50,145.3,0,0.1,8.23409,-5.29396e-23,0,0,74.7,1.91516e+07,1
51,146.794,0,0.1,7.53983,0,0,0,76.194,1.91747e+07,1
52,148.288,0,0.1,6.87304,-2.64698e-23,0,0,77.688,1.91972e+07,1
53,149.782,0,0.1,6.23774,-5.29396e-23,0,0,79.182,1.9219e+07,1
54,151.276,0,0.1,5.6369,0,0,0,80.676,1.92402e+07,1
55,152.77,0,0.1,5.07174,0,0,0,82.17,1.92607e+07,1
56,154.264,0,0.1,4.54162,0,0,0,83.664,1.92806e+07,1
57,155.758,0,0.1,4.0444,2.5e-12,0,0,85.158,1.92996e+07,1
58,157.252,0,0.1,3.57737,0,0,0,86.652,1.93176e+07,1
59,158.746,0,0.1,3.13808,2.5e-12,0,0,88.146,1.93347e+07,1
60,160.24,0,0.1,2.72494,-2.5e-12,0,0,89.64,1.93506e+07,1
61,161.734,0,0.1,2.33736,6.46921e-20,0,0,91.134,1.93653e+07,1
62,163.228,0,0.1,1.97565,-6.60156e-20,0,0,92.628,1.93788e+07,1
63,164.722,0,0.1,1.6406,-2.5e-12,0,0,94.122,1.9391e+07,1
64,166.216,0,0.1,1.33316,2.5e-12,0,0,95.616,1.94022e+07,1
65,167.71,0,0.1,1.05412,-2.5e-12,0,0,97.11,1.94122e+07,1
66,169.204,0,0.1,0.804111,0,0,0,98.604,1.94211e+07,1
67,170.698,0,0.1,0.58341,-1.4029e-19,0,0,100.098,1.94289e+07,1
68,172.192,0,0.1,0.392015,2.5e-12,0,0,101.592,1.94356e+07,1
69,173.686,0,0.1,0.229577,2.5e-12,0,0,103.086,1.94413e+07,1
70,175.18,0,0.1,0.0953865,2.5e-12,0,0,104.58,1.9446e+07,1
71,176.674,0,0.1,-0.0114427,1.05879e-22,0,0,106.074,1.94494e+07,1
72,178.168,0,0.1,-0.0929727,-2.5e-12,0,0,107.568,1.9452e+07,1
73,179.662,0,0.1,-0.154218,-2.01329e-19,0,0,109.062,1.94536e+07,1
74,181.156,0,0.1,-0.200962,-5.29396e-23,0,0,110.556,1.94544e+07,1
75,182.65,0,0.1,-0.240571,-2.5e-12,0,0,112.05,1.94548e+07,1
76,184.144,0,0.1,-0.27893,-5.23572e-20,0,0,113.544,1.94549e+07,1
77,185.638,0,0.1,-0.317991,0,0,0,115.038,1.94552e+07,1
78,187.132,0,0.1,-0.355166,-2.5e-12,0,0,116.532,1.94556e+07,1
79,188.626,0,0.1,-0.385359,-7.55977e-20,0,0,118.026,1.94562e+07,1
80,190.12,0,0.1,-0.403556,-6.05099e-20,0,0,119.52,1.9457e+07,1
81,191.614,0,0.1,-0.406212,6.54333e-20,0,0,121.014,1.94578e+07,1
82,193.108,0,0.1,-0.393325,-5.29396e-23,0,0,122.508,1.94586e+07,1
83,194.602,0,0.1,-0.367701,7.29507e-20,8.40779e-45,0,124.002,1.94592e+07,1
84,196.096,0,0.1,-0.335028,-1.14349e-19,1.82169e-44,0,125.496,1.94596e+07,1
85,197.59,0,0.1,-0.302184,7.58624e-20,8.40779e-45,0,126.99,1.94595e+07,1
86,199.084,0,0.1,-0.275139,2.5e-12,-1.82169e-44,0,128.484,1.94592e+07,1
87,200.578,0,0.1,-0.257915,0,0,0,129.978,1.94588e+07,1
88,202.072,0,0.1,-0.251565,0,0,0,131.472,1.9458e+07,1
89,203.566,0,0.1,-0.25406,2.5e-12,5.32493e-44,0,132.966,1.94574e+07,1
90,205.06,0,0.1,-0.261278,2.5e-12,0,0,134.46,1.94568e+07,1
91,206.554,0,0.1,-0.267981,-2.5e-12,0,0,135.954,1.94563e+07,1
92,208.048,0,0.1,-0.269864,2.5e-12,0,0,137.448,1.94561e+07,1
93,209.542,0,0.1,-0.26403,-2.5e-12,0,0,138.942,1.94562e+07,1
94,211.036,0,0.1,-0.250219,-2.5e-12,0,0,140.436,1.94566e+07,1
95,212.53,0,0.1,-0.230176,-1.0662e-19,0,0,141.93,1.94574e+07,1
96,214.024,0,0.1,-0.207337,1e-11,1.82169e-44,0,143.424,1.94582e+07,1
97,215.518,0,0.1,-0.185174,-2.5e-11,-1.82169e-44,0,144.918,1.94592e+07,1
98,217.012,0,0.1,-0.167057,6.5e-11,0,0,146.412,1.946e+07,1
99,218.506,0,0.1,-0.155212,2.25e-11,0,0,147.906,1.94608e+07,1
100,220,0,0.1,-0.150953,5e-12,0,0,149.4,1.94616e+07,1
