vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,38.0486,-4.45777,8.48254e-16,0,0,1.80899e+07,1
1,72.094,0,0.1,38.0018,-0.00974,0,0,1.494,1.81022e+07,1
2,73.588,0,0.1,37.5497,0.00011,0,0,2.988,1.81164e+07,1
3,75.082,0,0.1,37.0808,0.002665,0,1,4.482,1.81318e+07,1
4,76.576,0,0.1,36.6179,0.0123325,0,0,5.976,1.81482e+07,1
5,78.07,0,0.1,36.1857,0.02104,0,0,7.47,1.81657e+07,1
6,79.564,0,0.1,35.7035,-0.0042825,0,0,8.964,1.81843e+07,1
7,81.058,0,0.1,35.2984,-0.0545847,0,0,10.458,1.82039e+07,1
8,82.552,0,0.1,35.06,0.00876325,4.325e-34,0,11.952,1.82244e+07,1
9,84.046,0,0.1,34.7093,0.0605141,0,0,13.446,1.82457e+07,1
10,85.54,0,0.1,34.1582,0.0324504,6.5e-35,0,14.94,1.82679e+07,1
11,87.034,0,0.1,33.4977,0.00780064,0,0,16.434,1.8291e+07,1
12,88.528,0,0.1,32.7884,0.00102688,0,0,17.928,1.83149e+07,1
13,90.022,0,0.1,32.0519,8.02405e-05,0,0,19.422,1.83396e+07,1
14,91.516,0,0.1,31.2927,3.92264e-06,0,0,20.916,1.83652e+07,1
15,93.01,0,0.1,30.5126,1.16779e-07,0,0,22.41,1.83914e+07,1
16,94.504,0,0.1,29.7131,2.35775e-09,0,0,23.904,1.84184e+07,1
17,95.998,0,0.1,28.8955,3.425e-11,0,0,25.398,1.84459e+07,1
18,97.492,0,0.1,28.0616,1.75e-12,0,0,26.892,1.84741e+07,1
19,98.986,0,0.1,27.2129,1.19114e-22,0,0,28.386,1.85028e+07,1
20,100.48,0,0.1,26.3512,2.5e-13,0,0,29.88,1.8532e+07,1
21,101.974,0,0.1,25.4781,-5e-13,0,0,31.374,1.85616e+07,1
22,103.468,0,0.1,24.5958,-7.5e-13,0,0,32.868,1.85916e+07,1
23,104.962,0,0.1,23.7059,-2.5e-13,0,0,34.362,1.86219e+07,1
24,106.456,0,0.1,22.8103,5e-13,0,0,35.856,1.86524e+07,1
25,107.95,0,0.1,21.9111,-5e-13,0,0,37.35,1.86832e+07,1
26,109.444,0,0.1,21.01,-1.25e-12,0,0,38.844,1.8714e+07,1
27,110.938,0,0.1,20.1091,-2.5e-13,0,0,40.338,1.87448e+07,1
28,112.432,0,0.1,19.2104,1e-12,0,0,41.832,1.87756e+07,1
29,113.926,0,0.1,18.3155,-2.5e-13,0,0,43.326,1.88064e+07,1
30,115.42,0,0.1,17.4265,-3.32725e-20,0,0,44.82,1.8837e+07,1
31,116.914,0,0.1,16.5452,0,0,0,46.314,1.88673e+07,1
32,118.408,0,0.1,15.6732,3.62636e-20,0,0,47.808,1.88974e+07,1
33,119.902,0,0.1,14.8125,-2.5e-12,0,0,49.302,1.89272e+07,1
34,121.396,0,0.1,13.9647,3.92812e-20,0,0,50.796,1.89564e+07,1
35,122.89,0,0.1,13.1314,2.5e-12,0,0,52.29,1.89853e+07,1
36,124.384,0,0.1,12.3141,2.5e-12,0,0,53.784,1.90136e+07,1
37,125.878,0,0.1,11.5145,2.22346e-20,0,0,55.278,1.90414e+07,1
38,127.372,0,0.1,10.7339,2.30816e-20,0,0,56.772,1.90686e+07,1
39,128.866,0,0.1,9.97361,0,0,0,58.266,1.90951e+07,1
40,130.36,0,0.1,9.23493,0,0,0,59.76,1.91208e+07,1
