vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,36.2988,-4.25563,8.56154e-16,0,0,1.81556e+07,1
1,72.094,0,0.1,36.0822,-0.0094125,0,0,1.494,1.81715e+07,1
2,73.588,0,0.1,35.4852,0.0004525,0,0,2.988,1.81894e+07,1
3,75.082,0,0.1,34.8758,0.002015,0,1,4.482,1.82084e+07,1
4,76.576,0,0.1,34.2656,0.0107275,0,0,5.976,1.82284e+07,1
5,78.07,0,0.1,33.6991,0.021495,0,0,7.47,1.82496e+07,1
6,79.564,0,0.1,33.0952,0.00732,0,0,8.964,1.82718e+07,1
7,81.058,0,0.1,32.5271,-0.0492013,0,0,10.458,1.82952e+07,1
8,82.552,0,0.1,32.1438,-0.0156628,4.8e-34,0,11.952,1.83194e+07,1
9,84.046,0,0.1,31.7234,0.0565233,0,0,13.446,1.83443e+07,1
10,85.54,0,0.1,31.102,0.0405599,9e-35,0,14.94,1.837e+07,1
11,87.034,0,0.1,30.3552,0.0117273,0,0,16.434,1.83966e+07,1
12,88.528,0,0.1,29.5546,0.00180653,0,0,17.928,1.84238e+07,1
13,90.022,0,0.1,28.7295,0.000163024,0,0,19.422,1.84516e+07,1
14,91.516,0,0.1,27.8875,9.0903e-06,0,0,20.916,1.848e+07,1
15,93.01,0,0.1,27.0309,3.14145e-07,0,0,22.41,1.8509e+07,1
16,94.504,0,0.1,26.1614,7.447e-09,0,0,23.904,1.85385e+07,1
17,95.998,0,0.1,25.281,1.1775e-10,0,0,25.398,1.85684e+07,1
18,97.492,0,0.1,24.3913,7.5e-13,0,0,26.892,1.85986e+07,1
19,98.986,0,0.1,23.4945,-5e-13,0,0,28.386,1.86292e+07,1
20,100.48,0,0.1,22.5924,-1.25e-12,0,0,29.88,1.866e+07,1
21,101.974,0,0.1,21.687,5e-13,0,0,31.374,1.86908e+07,1
22,103.468,0,0.1,20.7802,-1.25e-12,0,0,32.868,1.87219e+07,1
23,104.962,0,0.1,19.8741,1.4479e-20,0,0,34.362,1.87529e+07,1
24,106.456,0,0.1,18.9706,5e-13,0,0,35.856,1.87839e+07,1
25,107.95,0,0.1,18.0716,-2e-12,0,0,37.35,1.88148e+07,1
26,109.444,0,0.1,17.1791,-2.5e-12,0,0,38.844,1.88456e+07,1
27,110.938,0,0.1,16.2948,1.76289e-20,0,0,40.338,1.8876e+07,1
28,112.432,0,0.1,15.4208,-5.54542e-20,0,0,41.832,1.89061e+07,1
29,113.926,0,0.1,14.5588,-2.5e-12,0,0,43.326,1.8936e+07,1
30,115.42,0,0.1,13.7104,-4.02076e-20,0,0,44.82,1.89653e+07,1
31,116.914,0,0.1,12.8773,-2.5e-12,0,0,46.314,1.89942e+07,1
32,118.408,0,0.1,12.0611,-2.5e-12,0,0,47.808,1.90225e+07,1
33,119.902,0,0.1,11.2633,-2.2764e-20,0,0,49.302,1.90502e+07,1
34,121.396,0,0.1,10.4852,4.63221e-20,0,0,50.796,1.90774e+07,1
35,122.89,0,0.1,9.72814,7.18919e-20,0,0,52.29,1.91037e+07,1
36,124.384,0,0.1,8.99348,9.93676e-20,0,0,53.784,1.91293e+07,1
37,125.878,0,0.1,8.28232,2.57286e-20,0,0,55.278,1.91542e+07,1
38,127.372,0,0.1,7.59574,2.65757e-20,0,0,56.772,1.91782e+07,1
39,128.866,0,0.1,6.93475,-5.29396e-23,0,0,58.266,1.92013e+07,1
40,130.36,0,0.1,6.30025,0,0,0,59.76,1.92236e+07,1
41,131.854,0,0.1,5.69309,-2.64698e-23,0,0,61.254,1.92448e+07,1
42,133.348,0,0.1,5.11399,0,0,0,62.748,1.92652e+07,1
43,134.842,0,0.1,4.56361,2.64698e-23,0,0,64.242,1.92846e+07,1
44,136.336,0,0.1,4.04252,0,0,0,65.736,1.93029e+07,1
45,137.83,0,0.1,3.55118,-2.5e-12,0,0,67.23,1.93202e+07,1
46,139.324,0,0.1,3.08997,-5.29396e-23,0,0,68.724,1.93364e+07,1
47,140.818,0,0.1,2.65919,6.51157e-20,0,0,70.218,1.93516e+07,1
48,142.312,0,0.1,2.25908,2.5e-12,0,0,71.712,1.93658e+07,1
49,143.806,0,0.1,1.88976,1.05879e-22,0,0,73.206,1.93788e+07,1
50,145.3,0,0.1,1.55129,1.05879e-22,0,0,74.7,1.93908e+07,1
51,146.794,0,0.1,1.24367,-2.5e-12,0,0,76.194,1.94016e+07,1
52,148.288,0,0.1,0.966809,2.5e-12,0,0,77.688,1.94114e+07,1
53,149.782,0,0.1,0.720518,1.05879e-22,0,0,79.182,1.942e+07,1
54,151.276,0,0.1,0.504518,2.5e-12,0,0,80.676,1.94276e+07,1
55,152.77,0,0.1,0.31837,-1.05879e-22,0,0,82.17,1.94342e+07,1
56,154.264,0,0.1,0.161386,-2.5e-12,0,0,83.664,1.94396e+07,1
57,155.758,0,0.1,0.0326359,-3.5e-12,0,0,85.158,1.94441e+07,1
58,157.252,0,0.1,-0.0689957,-2.5e-12,0,0,86.652,1.94474e+07,1
59,158.746,0,0.1,-0.147305,2.5e-12,0,0,88.146,1.945e+07,1
60,160.24,0,0.1,-0.206819,0,0,0,89.64,1.94516e+07,1
61,161.734,0,0.1,-0.25364,-2.5e-12,0,0,91.134,1.94526e+07,1
62,163.228,0,0.1,-0.293813,-7.52801e-20,0,0,92.628,1.94531e+07,1
63,164.722,0,0.1,-0.331857,2.5e-12,0,0,94.122,1.94534e+07,1
64,166.216,0,0.1,-0.369279,0,0,0,95.616,1.94538e+07,1
65,167.71,0,0.1,-0.404171,-5e-12,0,0,97.11,1.94541e+07,1
