vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,40.875,-4.77725,8.35801e-16,0,0,1.79924e+07,1
1,72.094,0,0.1,41.2906,-0.011435,0,0,1.494,1.79918e+07,1
2,73.588,0,0.1,41.3017,0.0023675,0,0,2.988,1.79918e+07,1
3,75.082,0,0.1,41.3822,0.012915,0,1,4.482,1.79919e+07,1
4,76.576,0,0.1,41.4651,-0.005955,0,0,5.976,1.7992e+07,1
5,78.07,0,0.1,41.6076,-0.0696938,0,0,7.47,1.79923e+07,1
6,79.564,0,0.1,42.0297,0.0253565,0,0,8.964,1.79924e+07,1
7,81.058,0,0.1,42.3415,0.0808052,0,0,10.458,1.79925e+07,1
8,82.552,0,0.1,42.4468,0.0332835,5.5e-35,0,11.952,1.79925e+07,1
9,84.046,0,0.1,42.4677,0.00572507,0,0,13.446,1.79926e+07,1
10,85.54,0,0.1,42.4678,0.000499482,-3.36312e-44,0,14.94,1.79926e+07,1
11,87.034,0,0.1,42.4632,2.426e-05,0,0,16.434,1.79928e+07,1
12,88.528,0,0.1,42.4547,6.99543e-07,0,0,17.928,1.7993e+07,1
13,90.022,0,0.1,42.4403,1.25959e-08,0,0,19.422,1.79936e+07,1
14,91.516,0,0.1,42.4174,1.4625e-10,0,0,20.916,1.79942e+07,1
15,93.01,0,0.1,42.3829,5e-13,0,0,22.41,1.79954e+07,1
16,94.504,0,0.1,42.3337,-5.5e-13,0,0,23.904,1.7997e+07,1
17,95.998,0,0.1,42.2667,1.125e-12,0,0,25.398,1.79992e+07,1
18,97.492,0,0.1,42.1791,-4.75e-13,0,0,26.892,1.8002e+07,1
19,98.986,0,0.1,42.069,-3.25e-13,0,0,28.386,1.80056e+07,1
20,100.48,0,0.1,41.9347,1.5e-13,0,0,29.88,1.801e+07,1
21,101.974,0,0.1,41.7751,-6.75e-13,0,0,31.374,1.80152e+07,1
22,103.468,0,0.1,41.5888,1.5e-13,0,0,32.868,1.80212e+07,1
23,104.962,0,0.1,41.375,1.25e-13,0,0,34.362,1.80281e+07,1
24,106.456,0,0.1,41.1317,6.25e-13,0,0,35.856,1.80358e+07,1
25,107.95,0,0.1,40.8576,-5e-13,0,0,37.35,1.80443e+07,1
26,109.444,0,0.1,40.5513,-6.75e-13,0,0,38.844,1.80535e+07,1
27,110.938,0,0.1,40.213,-3e-13,0,0,40.338,1.80636e+07,1
28,112.432,0,0.1,39.8446,7.5e-13,0,0,41.832,1.80744e+07,1
29,113.926,0,0.1,39.4496,-6.85e-13,0,0,43.326,1.80862e+07,1
30,115.42,0,0.1,39.0328,1.75e-14,0,0,44.82,1.80992e+07,1
31,116.914,0,0.1,38.5982,-7.5e-14,0,0,46.314,1.81134e+07,1
32,118.408,0,0.1,38.1475,2.5e-13,0,0,47.808,1.8129e+07,1
33,119.902,0,0.1,37.6797,1e-13,0,0,49.302,1.81458e+07,1
34,121.396,0,0.1,37.1916,-6.5e-13,0,0,50.796,1.81638e+07,1
35,122.89,0,0.1,36.679,1e-12,0,0,52.29,1.81827e+07,1
36,124.384,0,0.1,36.1384,9.84014e-21,0,0,53.784,1.82024e+07,1
37,125.878,0,0.1,35.5677,-2.5e-13,0,0,55.278,1.82228e+07,1
38,127.372,0,0.1,34.9668,-1e-12,0,0,56.772,1.8244e+07,1
39,128.866,0,0.1,34.3365,-5e-13,0,0,58.266,1.82658e+07,1
40,130.36,0,0.1,33.6789,-1e-12,0,0,59.76,1.82883e+07,1
41,131.854,0,0.1,32.9961,-1.25e-12,0,0,61.254,1.83114e+07,1
42,133.348,0,0.1,32.29,-2.5e-13,0,0,62.748,1.83352e+07,1
43,134.842,0,0.1,31.5627,6.61744e-24,0,0,64.242,1.83596e+07,1
44,136.336,0,0.1,30.8155,-1e-12,0,0,65.736,1.83848e+07,1
45,137.83,0,0.1,30.0504,1.41613e-20,0,0,67.23,1.84106e+07,1
46,139.324,0,0.1,29.2684,1e-12,0,0,68.724,1.84369e+07,1
47,140.818,0,0.1,28.4711,5e-13,0,0,70.218,1.84638e+07,1
48,142.312,0,0.1,27.6597,2.5e-13,0,0,71.712,1.84911e+07,1
49,143.806,0,0.1,26.8349,-7.5e-13,0,0,73.206,1.85188e+07,1
50,145.3,0,0.1,25.9974,-2.5e-13,0,0,74.7,1.8547e+07,1
51,146.794,0,0.1,25.1474,2.5e-13,0,0,76.194,1.85752e+07,1
52,148.288,0,0.1,24.2854,5e-13,0,0,77.688,1.86037e+07,1
53,149.782,0,0.1,23.4127,5e-13,0,0,79.182,1.86323e+07,1
54,151.276,0,0.1,22.5322,-2.5e-13,0,0,80.676,1.86609e+07,1
55,152.77,0,0.1,21.6488,-2.64698e-23,0,0,82.17,1.86897e+07,1
56,154.264,0,0.1,20.769,-2.5e-13,0,0,83.664,1.87186e+07,1
57,155.758,0,0.1,19.8986,2.5e-13,0,0,85.158,1.8748e+07,1
