vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,39.369,-4.60863,8.42397e-16,0,0,1.80434e+07,1
1,72.094,0,0.1,39.4763,-0.010635,0,0,1.494,1.8052e+07,1
2,73.588,0,0.1,39.1559,4.75e-05,0,0,2.988,1.80624e+07,1
3,75.082,0,0.1,38.8173,0.0035775,0,1,4.482,1.80738e+07,1
4,76.576,0,0.1,38.4946,0.0141375,0,0,5.976,1.80862e+07,1
5,78.07,0,0.1,38.1853,0.01872,0,0,7.47,1.80997e+07,1
6,79.564,0,0.1,37.8288,-0.0211675,0,0,8.964,1.81142e+07,1
7,81.058,0,0.1,37.6033,-0.0506215,0,0,10.458,1.81298e+07,1
8,82.552,0,0.1,37.4964,0.035462,3.9e-34,0,11.952,1.81462e+07,1
9,84.046,0,0.1,37.2142,0.0584785,0,0,13.446,1.81635e+07,1
10,85.54,0,0.1,36.7481,0.0239819,4.25e-35,0,14.94,1.81818e+07,1
11,87.034,0,0.1,36.1902,0.00474185,0,0,16.434,1.8201e+07,1
12,88.528,0,0.1,35.589,0.000524808,0,0,17.928,1.82211e+07,1
13,90.022,0,0.1,34.9587,3.48818e-05,0,0,19.422,1.82422e+07,1
14,91.516,0,0.1,34.3021,1.47501e-06,0,0,20.916,1.82642e+07,1
15,93.01,0,0.1,33.6202,4.19372e-08,0,0,22.41,1.8287e+07,1
16,94.504,0,0.1,32.914,7.885e-10,0,0,23.904,1.83106e+07,1
17,95.998,0,0.1,32.1845,8.5e-12,0,0,25.398,1.83351e+07,1
18,97.492,0,0.1,31.4329,-2.5e-13,0,0,26.892,1.83604e+07,1
19,98.986,0,0.1,30.6607,-2.5e-13,0,0,28.386,1.83863e+07,1
20,100.48,0,0.1,29.8689,1.524e-20,0,0,29.88,1.8413e+07,1
21,101.974,0,0.1,29.0593,-1.62127e-20,0,0,31.374,1.84403e+07,1
22,103.468,0,0.1,28.2332,-2.5e-13,0,0,32.868,1.84682e+07,1
23,104.962,0,0.1,27.3923,2.5e-13,0,0,34.362,1.84967e+07,1
24,106.456,0,0.1,26.5383,5e-13,0,0,35.856,1.85256e+07,1
25,107.95,0,0.1,25.6728,-5e-13,0,0,37.35,1.8555e+07,1
26,109.444,0,0.1,24.7977,-2.15729e-20,0,0,38.844,1.85847e+07,1
27,110.938,0,0.1,23.9147,7.5e-13,0,0,40.338,1.86148e+07,1
28,112.432,0,0.1,23.0257,1.25e-12,0,0,41.832,1.8645e+07,1
29,113.926,0,0.1,22.1327,-5e-13,0,0,43.326,1.86756e+07,1
30,115.42,0,0.1,21.2374,2.5e-13,0,0,44.82,1.87062e+07,1
31,116.914,0,0.1,20.3417,-1e-12,0,0,46.314,1.87368e+07,1
32,118.408,0,0.1,19.4475,-7.5e-13,0,0,47.808,1.87674e+07,1
33,119.902,0,0.1,18.5567,-5e-13,0,0,49.302,1.8798e+07,1
34,121.396,0,0.1,17.6712,3.24519e-20,0,0,50.796,1.88284e+07,1
35,122.89,0,0.1,16.7928,5.10073e-20,0,0,52.29,1.88587e+07,1
36,124.384,0,0.1,15.9232,7.15743e-20,0,0,53.784,1.88887e+07,1
37,125.878,0,0.1,15.064,1.87935e-20,0,0,55.278,1.89184e+07,1
38,127.372,0,0.1,14.217,2.5e-12,0,0,56.772,1.89476e+07,1
39,128.866,0,0.1,13.3838,2.5e-12,0,0,58.266,1.89765e+07,1
40,130.36,0,0.1,12.5659,0,0,0,59.76,1.90048e+07,1
41,131.854,0,0.1,11.7647,-5.29396e-23,0,0,61.254,1.90327e+07,1
42,133.348,0,0.1,10.9818,0,0,0,62.748,1.90598e+07,1
43,134.842,0,0.1,10.2184,2.64698e-23,0,0,64.242,1.90864e+07,1
44,136.336,0,0.1,9.47571,-2.5e-12,0,0,65.736,1.91123e+07,1
45,137.83,0,0.1,8.755,5.02396e-20,0,0,67.23,1.91374e+07,1
46,139.324,0,0.1,8.05733,2.64698e-23,0,0,68.724,1.91618e+07,1
47,140.818,0,0.1,7.38361,5.31513e-20,0,0,70.218,1.91853e+07,1
48,142.312,0,0.1,6.73459,-5.4766e-20,0,0,71.712,1.9208e+07,1
49,143.806,0,0.1,6.11075,2.5e-12,0,0,73.206,1.92296e+07,1
50,145.3,0,0.1,5.51226,2.5e-12,0,0,74.7,1.92504e+07,1
51,146.794,0,0.1,4.93906,-5.29396e-23,0,0,76.194,1.92701e+07,1
52,148.288,0,0.1,4.39111,0,0,0,77.688,1.92888e+07,1
53,149.782,0,0.1,3.86869,5.29396e-23,0,0,79.182,1.93063e+07,1
54,151.276,0,0.1,3.37291,5.29396e-23,0,0,80.676,1.93227e+07,1
55,152.77,0,0.1,2.90585,0,0,0,82.17,1.9338e+07,1
56,154.264,0,0.1,2.47049,1.05879e-22,0,0,83.664,1.93524e+07,1
57,155.758,0,0.1,2.07007,6.59098e-20,0,0,85.158,1.93659e+07,1
58,157.252,0,0.1,1.70722,0,0,0,86.652,1.93786e+07,1
59,158.746,0,0.1,1.38321,6.73921e-20,0,0,88.146,1.93904e+07,1
60,160.24,0,0.1,1.09749,0,0,0,89.64,1.94015e+07,1
61,161.734,0,0.1,0.84795,-2.5e-12,0,0,91.134,1.94118e+07,1
