vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,50,0.6,0.1,3.74105,31.0481,8.35031e-16,0,0,1.83598e+07,1
1,50,0.988,0.1,0.623222,31.1451,0,0,0.388,1.83661e+07,1
2,50,1.376,0.1,0.1236,30.8648,0,0,0.776,1.83733e+07,1
3,50,1.764,0.1,0.02881,30.6112,0,0,1.164,1.83805e+07,1
4,50,2.152,0.1,0.007335,30.3701,0,0,1.552,1.83879e+07,1
5,50,2.54,0.1,0.0001525,30.1328,0,0,1.94,1.83954e+07,1
6,50,2.928,0.1,-0.002155,29.8984,0,0,2.328,1.84028e+07,1
7,50,3.316,0.1,-0.00235,29.6653,0,0,2.716,1.84104e+07,1
8,50,3.704,0.1,-0.001745,29.4327,0,0,3.104,1.8418e+07,1
9,50,4.092,0.1,-0.001055,29.1999,0,0,3.492,1.84258e+07,1
10,50,4.48,0.1,-0.0005225,28.9663,0,0,3.88,1.84336e+07,1
11,50,4.868,0.1,-0.0002125,28.7316,0,0,4.268,1.84414e+07,1
12,50,5.256,0.1,-9.25e-05,28.4956,0,0,4.656,1.84493e+07,1
13,50,5.644,0.1,-5.5e-05,28.2582,0,0,5.044,1.84572e+07,1
14,50,6.032,0.1,-4.75e-05,28.0194,0,0,5.432,1.84652e+07,1
15,50,6.42,0.1,-3e-05,27.7793,0,0,5.82,1.84734e+07,1
16,50,6.808,0.1,-2e-05,27.5377,0,0,6.208,1.84814e+07,1
17,50,7.196,0.1,-7.5e-05,27.2946,0,0,6.596,1.84896e+07,1
18,50,7.584,0.1,-0.000265,27.0498,0,0,6.984,1.84978e+07,1
19,50,7.972,0.1,-0.0006775,26.8033,0,0,7.372,1.85062e+07,1
20,50,8.36,0.1,-0.00131,26.555,0,0,7.76,1.85145e+07,1
21,50,8.748,0.1,-0.00212,26.3048,0,0,8.148,1.85229e+07,1
22,50,9.136,0.1,-0.002985,26.0526,0,0,8.536,1.85313e+07,1
23,50,9.524,0.1,-0.003835,25.7986,0,0,8.924,1.85398e+07,1
24,50,9.912,0.1,-0.00458,25.5432,0,0,9.312,1.85483e+07,1
25,50,10.3,0.1,-0.0052075,25.2869,0,0,9.7,1.85568e+07,1
26,50,10.688,0.1,-0.00581,25.0306,0,0,10.088,1.85654e+07,1
27,50,11.076,0.1,-0.0065825,24.775,0,0,10.476,1.85741e+07,1
28,50,11.464,0.1,-0.0077825,24.5212,0,0,10.864,1.85828e+07,1
29,50,11.852,0.1,-0.0096525,24.2702,0,0,11.252,1.85915e+07,1
30,50,12.24,0.1,-0.0122775,24.0228,0,0,11.64,1.86002e+07,1
31,50,12.628,0.1,-0.01551,23.7794,0,0,12.028,1.8609e+07,1
32,50,13.016,0.1,-0.0190675,23.5403,0,0,12.416,1.86178e+07,1
33,50,13.404,0.1,-0.022685,23.305,0,0,12.804,1.86266e+07,1
34,50,13.792,0.1,-0.0261475,23.0732,0,0,13.192,1.86355e+07,1
35,50,14.18,0.1,-0.0291875,22.8441,0,0,13.58,1.86444e+07,1
36,50,14.568,0.1,-0.0315275,22.6169,0,0,13.968,1.86534e+07,1
37,50,14.956,0.1,-0.0329675,22.39,0,0,14.356,1.86623e+07,1
38,50,15.344,0.1,-0.0334075,22.1606,0,0,14.744,1.86712e+07,1
39,50,15.732,0.1,-0.0320325,21.9252,0,0,15.132,1.86802e+07,1
40,50,16.12,0.1,-0.0286025,21.6839,0,0,15.52,1.86892e+07,1
41,50,16.508,0.1,-0.022685,21.4386,0,0,15.908,1.86983e+07,1
