vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,50,0.6,0.1,2.84352,23.432,8.70805e-16,0,0,1.8625e+07,1
1,50,0.988,0.1,0.48378,23.3798,0,0,0.388,1.8633e+07,1
2,50,1.376,0.1,0.109615,23.0338,0,0,0.776,1.86419e+07,1
3,50,1.764,0.1,0.034455,22.719,0,0,1.164,1.86508e+07,1
4,50,2.152,0.1,0.01228,22.4175,0,0,1.552,1.86598e+07,1
5,50,2.54,0.1,0.002235,22.1232,0,0,1.94,1.86688e+07,1
6,50,2.928,0.1,-0.0025525,21.8359,0,0,2.328,1.86778e+07,1
7,50,3.316,0.1,-0.00446,21.5538,0,0,2.716,1.86869e+07,1
8,50,3.704,0.1,-0.00427,21.2756,0,0,3.104,1.8696e+07,1
9,50,4.092,0.1,-0.003275,21.0004,0,0,3.492,1.87051e+07,1
10,50,4.48,0.1,-0.0021875,20.7274,0,0,3.88,1.87142e+07,1
11,50,4.868,0.1,-0.0013025,20.4561,0,0,4.268,1.87233e+07,1
12,50,5.256,0.1,-0.0006875,20.1859,0,0,4.656,1.87324e+07,1
13,50,5.644,0.1,-0.000315,19.9164,0,0,5.044,1.87416e+07,1
14,50,6.032,0.1,-0.0001425,19.6476,0,0,5.432,1.87507e+07,1
15,50,6.42,0.1,-6.5e-05,19.3792,0,0,5.82,1.87598e+07,1
16,50,6.808,0.1,-2.25e-05,19.1113,0,0,6.208,1.8769e+07,1
17,50,7.196,0.1,-4.5e-05,18.8438,0,0,6.596,1.87781e+07,1
18,50,7.584,0.1,-0.0002525,18.5765,0,0,6.984,1.87872e+07,1
19,50,7.972,0.1,-0.0006925,18.309,0,0,7.372,1.87963e+07,1
20,50,8.36,0.1,-0.001335,18.0413,0,0,7.76,1.88054e+07,1
21,50,8.748,0.1,-0.0021625,17.7735,0,0,8.148,1.88145e+07,1
22,50,9.136,0.1,-0.0030475,17.5054,0,0,8.536,1.88236e+07,1
23,50,9.524,0.1,-0.00389,17.2373,0,0,8.924,1.88326e+07,1
24,50,9.912,0.1,-0.0046075,16.9694,0,0,9.312,1.88417e+07,1
25,50,10.3,0.1,-0.0051525,16.7022,0,0,9.7,1.88508e+07,1
26,50,10.688,0.1,-0.0055925,16.4366,0,0,10.088,1.88598e+07,1
27,50,11.076,0.1,-0.006095,16.1732,0,0,10.476,1.88688e+07,1
28,50,11.464,0.1,-0.0069225,15.9129,0,0,10.864,1.88776e+07,1
29,50,11.852,0.1,-0.0083475,15.6567,0,0,11.252,1.88866e+07,1
30,50,12.24,0.1,-0.0105825,15.4055,0,0,11.64,1.88955e+07,1
31,50,12.628,0.1,-0.01364,15.1598,0,0,12.028,1.89044e+07,1
32,50,13.016,0.1,-0.01729,14.9198,0,0,12.416,1.89132e+07,1
33,50,13.404,0.1,-0.0211675,14.6855,0,0,12.804,1.8922e+07,1
34,50,13.792,0.1,-0.0249775,14.4566,0,0,13.192,1.89308e+07,1
35,50,14.18,0.1,-0.028455,14.2332,0,0,13.58,1.89396e+07,1
