vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,40.8754,-4.77726,8.35798e-16,0,0,1.79924e+07,1
1,72.094,0,0.1,41.2909,-0.01147,0,0,1.494,1.79918e+07,1
2,73.588,0,0.1,41.2965,0.0013725,0,0,2.988,1.79918e+07,1
3,75.082,0,0.1,41.3587,0.012325,0,1,4.482,1.79919e+07,1
4,76.576,0,0.1,41.4524,0.0064975,0,0,5.976,1.7992e+07,1
5,78.07,0,0.1,41.5428,-0.05743,0,0,7.47,1.79923e+07,1
6,79.564,0,0.1,41.8958,-0.0173023,0,0,8.964,1.79926e+07,1
7,81.058,0,0.1,42.2641,0.0775713,0,0,10.458,1.79928e+07,1
8,82.552,0,0.1,42.4082,0.0475324,9e-35,0,11.952,1.79932e+07,1
9,84.046,0,0.1,42.4314,0.0109423,0,0,13.446,1.79936e+07,1
10,85.54,0,0.1,42.4126,0.00124937,2.5e-36,0,14.94,1.79944e+07,1
11,87.034,0,0.1,42.3768,7.88058e-05,0,0,16.434,1.79956e+07,1
12,88.528,0,0.1,42.3256,2.938e-06,0,0,17.928,1.79974e+07,1
13,90.022,0,0.1,42.2565,6.81901e-08,0,0,19.422,1.79996e+07,1
14,91.516,0,0.1,42.1668,1.02343e-09,0,0,20.916,1.80026e+07,1
15,93.01,0,0.1,42.0545,1.0475e-11,0,0,22.41,1.80062e+07,1
16,94.504,0,0.1,41.918,2.5e-13,0,0,23.904,1.80108e+07,1
17,95.998,0,0.1,41.7562,-4.75e-13,0,0,25.398,1.80161e+07,1
18,97.492,0,0.1,41.5685,-9e-13,0,0,26.892,1.80222e+07,1
19,98.986,0,0.1,41.3539,-6.75e-13,0,0,28.386,1.80294e+07,1
20,100.48,0,0.1,41.1122,-3.75e-13,0,0,29.88,1.80373e+07,1
21,101.974,0,0.1,40.8431,-4.75e-13,0,0,31.374,1.80462e+07,1
22,103.468,0,0.1,40.5462,-1e-13,0,0,32.868,1.8056e+07,1
23,104.962,0,0.1,40.2214,-2.5e-14,0,0,34.362,1.80668e+07,1
24,106.456,0,0.1,39.8683,1.25e-13,0,0,35.856,1.80784e+07,1
25,107.95,0,0.1,39.487,-6.5e-13,0,0,37.35,1.8091e+07,1
26,109.444,0,0.1,39.0773,8.775e-13,0,0,38.844,1.81044e+07,1
27,110.938,0,0.1,38.6386,7.5e-14,0,0,40.338,1.81189e+07,1
28,112.432,0,0.1,38.1704,4.75e-13,0,0,41.832,1.81342e+07,1
29,113.926,0,0.1,37.6718,-1e-13,0,0,43.326,1.81504e+07,1
30,115.42,0,0.1,37.1419,6e-13,0,0,44.82,1.81672e+07,1
31,116.914,0,0.1,36.5808,2.5e-13,0,0,46.314,1.8185e+07,1
32,118.408,0,0.1,35.9901,-2.5e-13,0,0,47.808,1.82034e+07,1
33,119.902,0,0.1,35.3728,-7.5e-13,0,0,49.302,1.82228e+07,1
34,121.396,0,0.1,34.7337,8.69532e-21,0,0,50.796,1.8243e+07,1
35,122.89,0,0.1,34.0777,2.5e-13,0,0,52.29,1.82644e+07,1
36,124.384,0,0.1,33.4085,5e-13,0,0,53.784,1.82869e+07,1
37,125.878,0,0.1,32.7275,-2.5e-13,0,0,55.278,1.83106e+07,1
38,127.372,0,0.1,32.0337,-2.5e-13,0,0,56.772,1.83352e+07,1
39,128.866,0,0.1,31.3245,0,0,0,58.266,1.83608e+07,1
40,130.36,0,0.1,30.597,-2.5e-13,0,0,59.76,1.83871e+07,1
41,131.854,0,0.1,29.8489,5e-13,0,0,61.254,1.84138e+07,1
42,133.348,0,0.1,29.0797,-2.5e-13,0,0,62.748,1.84411e+07,1
43,134.842,0,0.1,28.2901,-1e-12,0,0,64.242,1.84687e+07,1
44,136.336,0,0.1,27.4822,2.5e-13,0,0,65.736,1.84966e+07,1
45,137.83,0,0.1,26.6585,-7.5e-13,0,0,67.23,1.8525e+07,1
46,139.324,0,0.1,25.8216,-7.5e-13,0,0,68.724,1.85536e+07,1
47,140.818,0,0.1,24.9742,-7.5e-13,0,0,70.218,1.85824e+07,1
