vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,27.8666,-3.27527,8.9591e-16,0,0,1.84444e+07,1
1,72.094,0,0.1,27.1801,-0.0142325,0,0,1.494,1.84719e+07,1
2,73.588,0,0.1,26.2582,0.0032375,0,0,2.988,1.85012e+07,1
3,75.082,0,0.1,25.3668,0.0016525,0,1,4.482,1.85312e+07,1
4,76.576,0,0.1,24.4814,0.0076475,0,0,5.976,1.85617e+07,1
5,78.07,0,0.1,23.6495,0.018745,0,0,7.47,1.85928e+07,1
6,79.564,0,0.1,22.8452,0.0244275,0,0,8.964,1.86242e+07,1
7,81.058,0,0.1,22.0217,-0.01244,0,0,10.458,1.86562e+07,1
8,82.552,0,0.1,21.3353,-0.0541408,5.375e-34,0,11.952,1.86882e+07,1
9,84.046,0,0.1,20.7922,0.01946,0,0,13.446,1.87201e+07,1
10,85.54,0,0.1,20.1215,0.0544525,1.8e-34,0,14.94,1.87518e+07,1
11,87.034,0,0.1,19.2889,0.0256469,0,0,16.434,1.87834e+07,1
12,88.528,0,0.1,18.3839,0.00570347,0,0,17.928,1.88145e+07,1
13,90.022,0,0.1,17.461,0.000708849,0,0,19.422,1.88452e+07,1
14,91.516,0,0.1,16.5397,5.27087e-05,0,0,20.916,1.88757e+07,1
15,93.01,0,0.1,15.6271,2.43381e-06,0,0,22.41,1.89057e+07,1
16,94.504,0,0.1,14.7271,7.29125e-08,0,0,23.904,1.89354e+07,1
17,95.998,0,0.1,13.8436,1.4375e-09,0,0,25.398,1.89646e+07,1
18,97.492,0,0.1,12.9791,2e-11,0,0,26.892,1.89935e+07,1
19,98.986,0,0.1,12.1357,2.5e-12,0,0,28.386,1.9022e+07,1
20,100.48,0,0.1,11.3149,4.53957e-20,0,0,29.88,1.90498e+07,1
21,101.974,0,0.1,10.5176,-2.5e-12,0,0,31.374,1.90772e+07,1
22,103.468,0,0.1,9.74455,-2.5e-12,0,0,32.868,1.91038e+07,1
23,104.962,0,0.1,8.99648,2.50934e-20,0,0,34.362,1.91296e+07,1
24,106.456,0,0.1,8.27409,2.5e-12,0,0,35.856,1.91548e+07,1
25,107.95,0,0.1,7.57812,-2.5e-12,0,0,37.35,1.9179e+07,1
26,109.444,0,0.1,6.90932,-5.53218e-20,0,0,38.844,1.92024e+07,1
27,110.938,0,0.1,6.26843,2.83491e-20,0,0,40.338,1.92248e+07,1
28,112.432,0,0.1,5.65617,-8.77208e-20,0,0,41.832,1.92464e+07,1
29,113.926,0,0.1,5.07317,2.5e-12,0,0,43.326,1.92668e+07,1
30,115.42,0,0.1,4.52005,-6.14099e-20,0,0,44.82,1.92862e+07,1
31,116.914,0,0.1,3.99728,-1.05879e-22,0,0,46.314,1.93046e+07,1
32,118.408,0,0.1,3.5053,-2.5e-12,0,0,47.808,1.9322e+07,1
33,119.902,0,0.1,3.0444,2.5e-12,0,0,49.302,1.93382e+07,1
34,121.396,0,0.1,2.61486,6.64921e-20,0,0,50.796,1.93534e+07,1
35,122.89,0,0.1,2.2168,2.5e-12,0,0,52.29,1.93674e+07,1
36,124.384,0,0.1,1.85031,-2.5e-12,0,0,53.784,1.93804e+07,1
37,125.878,0,0.1,1.51539,3.5046e-20,0,0,55.278,1.93922e+07,1
38,127.372,0,0.1,1.21194,2.5e-12,0,0,56.772,1.94028e+07,1
39,128.866,0,0.1,0.939803,1.05879e-22,0,0,58.266,1.94125e+07,1
40,130.36,0,0.1,0.698726,2.5e-12,0,0,59.76,1.9421e+07,1
41,131.854,0,0.1,0.488344,-2.5e-12,0,0,61.254,1.94284e+07,1
42,133.348,0,0.1,0.308134,-1.05879e-22,0,0,62.748,1.94348e+07,1
43,134.842,0,0.1,0.157341,2.5e-12,0,0,64.242,1.94402e+07,1
44,136.336,0,0.1,0.0348479,0,0,0,65.736,1.94445e+07,1
45,137.83,0,0.1,-0.060485,-2.5e-12,0,0,67.23,1.94478e+07,1
46,139.324,0,0.1,-0.132226,-2.5e-13,0,0,68.724,1.94504e+07,1
47,140.818,0,0.1,-0.184864,2e-12,0,0,70.218,1.94523e+07,1
48,142.312,0,0.1,-0.223641,-2.5e-12,0,0,71.712,1.94537e+07,1
49,143.806,0,0.1,-0.253339,2.5e-12,0,0,73.206,1.94547e+07,1
50,145.3,0,0.1,-0.278656,1.05879e-22,0,0,74.7,1.94556e+07,1
51,146.794,0,0.1,-0.301728,-2.5e-12,0,0,76.194,1.94564e+07,1
52,148.288,0,0.1,-0.323377,5.29396e-23,0,0,77.688,1.94572e+07,1
53,149.782,0,0.1,-0.342405,-2.5e-12,0,0,79.182,1.94578e+07,1
54,151.276,0,0.1,-0.35697,5.29396e-23,0,0,80.676,1.94584e+07,1
55,152.77,0,0.1,-0.365324,1.05879e-22,0,0,82.17,1.94586e+07,1
56,154.264,0,0.1,-0.366743,1.05879e-22,0,0,83.664,1.94587e+07,1
57,155.758,0,0.1,-0.361505,-2.5e-12,0,0,85.158,1.94585e+07,1
58,157.252,0,0.1,-0.351124,2.5e-12,0,0,86.652,1.94581e+07,1
59,158.746,0,0.1,-0.337879,-2.5e-12,0,0,88.146,1.94576e+07,1
60,160.24,0,0.1,-0.323965,0,0,0,89.64,1.94572e+07,1
61,161.734,0,0.1,-0.311345,6.99861e-20,0,0,91.134,1.94566e+07,1
62,163.228,0,0.1,-0.301076,-2.5e-12,0,0,92.628,1.94563e+07,1
63,164.722,0,0.1,-0.29353,7.3586e-20,0,0,94.122,1.9456e+07,1
64,166.216,0,0.1,-0.288509,-5.29396e-23,0,0,95.616,1.94558e+07,1
65,167.71,0,0.1,-0.285479,-5e-12,0,0,97.11,1.94557e+07,1
66,169.204,0,0.1,-0.283953,-2.5e-12,0,0,98.604,1.94556e+07,1
67,170.698,0,0.1,-0.283531,-1.35419e-19,0,0,100.098,1.94555e+07,1
68,172.192,0,0.1,-0.284128,1.05879e-22,0,0,101.592,1.94555e+07,1
69,173.686,0,0.1,-0.28587,2.5e-12,0,0,103.086,1.94555e+07,1
70,175.18,0,0.1,-0.289473,2.5e-12,0,0,104.58,1.94555e+07,1
71,176.674,0,0.1,-0.295619,0,0,0,106.074,1.94555e+07,1
72,178.168,0,0.1,-0.305375,-2.5e-12,0,0,107.568,1.94555e+07,1
73,179.662,0,0.1,-0.320079,-5e-12,0,0,109.062,1.94555e+07,1
74,181.156,0,0.1,-0.340432,0,0,0,110.556,1.94556e+07,1
75,182.65,0,0.1,-0.366488,-2.5e-12,0,0,112.05,1.94557e+07,1
76,184.144,0,0.1,-0.397217,-6.87685e-20,0,0,113.544,1.94559e+07,1
77,185.638,0,0.1,-0.43011,-2.5e-12,0,0,115.038,1.94562e+07,1
78,187.132,0,0.1,-0.461343,-2.5e-12,0,0,116.532,1.94564e+07,1
79,188.626,0,0.1,-0.486535,-7.14684e-20,0,0,118.026,1.94568e+07,1
80,190.12,0,0.1,-0.501913,-2.5e-12,0,0,119.52,1.94574e+07,1
81,191.614,0,0.1,-0.504946,6.67038e-20,0,0,121.014,1.94578e+07,1
82,193.108,0,0.1,-0.49564,-2.5e-12,0,0,122.508,1.94584e+07,1
83,194.602,0,0.1,-0.47603,-2.5e-12,8.40779e-45,0,124.002,1.94588e+07,1
84,196.096,0,0.1,-0.450217,-8.97326e-20,1.82169e-44,0,125.496,1.94592e+07,1
85,197.59,0,0.1,-0.423255,7.03567e-20,8.40779e-45,0,126.99,1.94598e+07,1
86,199.084,0,0.1,-0.399812,6.01923e-20,-1.82169e-44,0,128.484,1.94602e+07,1
87,200.578,0,0.1,-0.383486,1.05879e-22,0,0,129.978,1.94607e+07,1
88,202.072,0,0.1,-0.376105,2.11758e-22,0,0,131.472,1.94613e+07,1
89,203.566,0,0.1,-0.37755,2.5e-12,5.32493e-44,0,132.966,1.9462e+07,1
90,205.06,0,0.1,-0.386111,0,0,0,134.46,1.94627e+07,1
91,206.554,0,0.1,-0.398783,5e-12,0,0,135.954,1.94634e+07,1
92,208.048,0,0.1,-0.412327,-2.5e-12,0,0,137.448,1.9464e+07,1
93,209.542,0,0.1,-0.423443,1.33196e-19,0,0,138.942,1.94644e+07,1
94,211.036,0,0.1,-0.429895,-2.5e-12,0,0,140.436,1.94647e+07,1
95,212.53,0,0.1,-0.430681,-1.08526e-19,0,0,141.93,1.94646e+07,1
96,214.024,0,0.1,-0.426486,5e-12,1.82169e-44,0,143.424,1.94644e+07,1
