vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,40.8741,-4.77718,8.35807e-16,1,0,1.79924e+07,1
1,72.094,0,0.1,41.29,-0.01151,0,0,1.494,1.79918e+07,1
2,73.588,0,0.1,41.3096,0.00388,0,0,2.988,1.79918e+07,1
3,75.082,0,0.1,41.4062,0.0113625,0,0,4.482,1.79919e+07,1
4,76.576,0,0.1,41.4762,-0.02881,0,0,5.976,1.79921e+07,1
5,78.07,0,0.1,41.7032,-0.0628955,0,0,7.47,1.79923e+07,1
6,79.564,0,0.1,42.1514,0.0654783,0,0,8.964,1.79924e+07,1
7,81.058,0,0.1,42.3909,0.071905,0,0,10.458,1.79925e+07,1
8,82.552,0,0.1,42.4594,0.0208076,3e-35,0,11.952,1.79925e+07,1
9,84.046,0,0.1,42.4706,0.00267112,0,0,13.446,1.79925e+07,1
10,85.54,0,0.1,42.4713,0.000176491,-3.36312e-44,0,14.94,1.79925e+07,1
11,87.034,0,0.1,42.4709,6.53329e-06,0,0,16.434,1.79925e+07,1
12,88.528,0,0.1,42.47,1.44002e-07,0,0,17.928,1.79925e+07,1
13,90.022,0,0.1,42.4686,1.98817e-09,0,0,19.422,1.79925e+07,1
14,91.516,0,0.1,42.466,1.795e-11,0,0,20.916,1.79925e+07,1
15,93.01,0,0.1,42.4613,-4.5e-13,0,0,22.41,1.79926e+07,1
16,94.504,0,0.1,42.4529,5.25e-13,0,0,23.904,1.79928e+07,1
17,95.998,0,0.1,42.4388,-1e-13,0,0,25.398,1.79932e+07,1
18,97.492,0,0.1,42.4158,-8.75e-13,0,0,26.892,1.79938e+07,1
19,98.986,0,0.1,42.3797,-5e-14,0,0,28.386,1.79948e+07,1
20,100.48,0,0.1,42.326,1e-13,0,0,29.88,1.79961e+07,1
21,101.974,0,0.1,42.25,2.75e-13,0,0,31.374,1.79978e+07,1
22,103.468,0,0.1,42.1488,3e-13,0,0,32.868,1.8e+07,1
23,104.962,0,0.1,42.0214,-1.75e-13,0,0,34.362,1.80028e+07,1
24,106.456,0,0.1,41.8695,-6.25e-13,0,0,35.856,1.80065e+07,1
25,107.95,0,0.1,41.6969,-8e-13,0,0,37.35,1.80111e+07,1
26,109.444,0,0.1,41.5078,-5e-14,0,0,38.844,1.80168e+07,1
27,110.938,0,0.1,41.3044,2e-13,0,0,40.338,1.80238e+07,1
28,112.432,0,0.1,41.086,-3.25e-13,0,0,41.832,1.80322e+07,1
29,113.926,0,0.1,40.8492,-2.5e-13,0,0,43.326,1.80416e+07,1
30,115.42,0,0.1,40.5888,-2.25e-13,0,0,44.82,1.80522e+07,1
31,116.914,0,0.1,40.3001,-5e-14,0,0,46.314,1.80636e+07,1
32,118.408,0,0.1,39.9795,-7.5e-14,0,0,47.808,1.80758e+07,1
33,119.902,0,0.1,39.6255,5.25e-13,0,0,49.302,1.80886e+07,1
34,121.396,0,0.1,39.2382,5.5e-14,0,0,50.796,1.81023e+07,1
35,122.89,0,0.1,38.8187,-1e-13,0,0,52.29,1.81168e+07,1
36,124.384,0,0.1,38.3685,4.5e-13,0,0,53.784,1.8132e+07,1
37,125.878,0,0.1,37.8889,-3.25e-13,0,0,55.278,1.8148e+07,1
38,127.372,0,0.1,37.3812,-1e-12,0,0,56.772,1.8165e+07,1
39,128.866,0,0.1,36.8464,-7.5e-13,0,0,58.266,1.81828e+07,1
40,130.36,0,0.1,36.2853,-2.5e-13,0,0,59.76,1.82015e+07,1
41,131.854,0,0.1,35.6987,-1e-12,0,0,61.254,1.8221e+07,1
42,133.348,0,0.1,35.0872,-2.5e-13,0,0,62.748,1.82414e+07,1
43,134.842,0,0.1,34.4515,1e-12,0,0,64.242,1.82625e+07,1
44,136.336,0,0.1,33.7921,-2.5e-13,0,0,65.736,1.82845e+07,1
45,137.83,0,0.1,33.1092,1.04423e-20,0,0,67.23,1.83072e+07,1
46,139.324,0,0.1,32.4024,-7.5e-13,0,0,68.724,1.83304e+07,1
47,140.818,0,0.1,31.6714,-5e-13,0,0,70.218,1.83544e+07,1
48,142.312,0,0.1,30.9164,-2.5e-13,0,0,71.712,1.83788e+07,1
49,143.806,0,0.1,30.139,7.5e-13,0,0,73.206,1.84036e+07,1
50,145.3,0,0.1,29.343,1.32349e-23,0,0,74.7,1.8429e+07,1
51,146.794,0,0.1,28.534,7.5e-13,0,0,76.194,1.84549e+07,1
52,148.288,0,0.1,27.7188,5e-13,0,0,77.688,1.84816e+07,1
53,149.782,0,0.1,26.9025,-2.5e-13,0,0,79.182,1.85092e+07,1
54,151.276,0,0.1,26.0879,2.5e-13,0,0,80.676,1.85375e+07,1
55,152.77,0,0.1,25.2742,5e-13,0,0,82.17,1.85666e+07,1
56,154.264,0,0.1,24.4583,-7.5e-13,0,0,83.664,1.85962e+07,1
57,155.758,0,0.1,23.6364,-5e-13,0,0,85.158,1.86261e+07,1
58,157.252,0,0.1,22.8053,2.5e-13,0,0,86.652,1.8656e+07,1
59,158.746,0,0.1,21.9628,-2.5e-13,0,0,88.146,1.86858e+07,1
60,160.24,0,0.1,21.1087,0,0,0,89.64,1.87152e+07,1
61,161.734,0,0.1,20.2444,2.91697e-20,0,0,91.134,1.87445e+07,1
62,163.228,0,0.1,19.3729,-1e-12,0,0,92.628,1.87734e+07,1
63,164.722,0,0.1,18.4997,-5e-13,0,0,94.122,1.8802e+07,1
64,166.216,0,0.1,17.6318,-2.64698e-23,0,0,95.616,1.88306e+07,1
65,167.71,0,0.1,16.7768,-2.38228e-22,0,0,97.11,1.88592e+07,1
66,169.204,0,0.1,15.9406,2.5e-12,0,0,98.604,1.8888e+07,1
67,170.698,0,0.1,15.1264,-7.53859e-20,0,0,100.098,1.89169e+07,1
68,172.192,0,0.1,14.3336,2.5e-12,0,0,101.592,1.89458e+07,1
69,173.686,0,0.1,13.5589,4.03135e-20,0,0,103.086,1.89746e+07,1
70,175.18,0,0.1,12.7985,-5.29396e-23,0,0,104.58,1.9003e+07,1
71,176.674,0,0.1,12.0495,-2.5e-12,0,0,106.074,1.90309e+07,1
72,178.168,0,0.1,11.3108,3.17637e-22,0,0,107.568,1.9058e+07,1
73,179.662,0,0.1,10.5833,-1.40025e-19,0,0,109.062,1.90844e+07,1
74,181.156,0,0.1,9.86872,2.64698e-23,0,0,110.556,1.91099e+07,1
75,182.65,0,0.1,9.16976,9.90499e-20,0,0,112.05,1.91347e+07,1
76,184.144,0,0.1,8.48874,-2.5e-12,0,0,113.544,1.91587e+07,1
77,185.638,0,0.1,7.82765,-2.5e-12,0,0,115.038,1.91819e+07,1
78,187.132,0,0.1,7.18809,-2.13876e-19,0,0,116.532,1.92044e+07,1
79,188.626,0,0.1,6.57132,-2.5e-12,0,0,118.026,1.9226e+07,1
80,190.12,0,0.1,5.97836,-5.59306e-20,0,0,119.52,1.92467e+07,1
81,191.614,0,0.1,5.41012,5.71747e-20,0,0,121.014,1.92666e+07,1
82,193.108,0,0.1,4.86732,-2.64698e-23,0,0,122.508,1.92856e+07,1
83,194.602,0,0.1,4.35038,2.5e-12,8.40779e-45,0,124.002,1.93038e+07,1
84,196.096,0,0.1,3.85922,-6.02982e-20,1.82169e-44,0,125.496,1.93208e+07,1
85,197.59,0,0.1,3.39312,6.12511e-20,8.40779e-45,0,126.99,1.93369e+07,1
86,199.084,0,0.1,2.95084,6.19922e-20,-1.82169e-44,0,128.484,1.93519e+07,1
87,200.578,0,0.1,2.53135,2.5e-12,0,0,129.978,1.93657e+07,1
88,202.072,0,0.1,2.13492,0,0,0,131.472,1.93783e+07,1
89,203.566,0,0.1,1.76412,2.59986e-19,5.32493e-44,0,132.966,1.93898e+07,1
90,205.06,0,0.1,1.42383,2.5e-12,0,0,134.46,1.94002e+07,1
91,206.554,0,0.1,1.12004,6.61744e-20,0,0,135.954,1.941e+07,1
92,208.048,0,0.1,0.857538,5.29396e-23,0,0,137.448,1.9419e+07,1
93,209.542,0,0.1,0.637962,1.34361e-19,0,0,138.942,1.94276e+07,1
94,211.036,0,0.1,0.459136,2.5e-12,0,0,140.436,1.94356e+07,1
95,212.53,0,0.1,0.316074,2.5e-12,0,0,141.93,1.94426e+07,1
96,214.024,0,0.1,0.202943,2e-11,1.82169e-44,0,143.424,1.94488e+07,1
97,215.518,0,0.1,0.114935,-1.5e-11,-1.82169e-44,0,144.918,1.94538e+07,1
98,217.012,0,0.1,0.0492522,9.25e-11,0,0,146.412,1.94576e+07,1
99,218.506,0,0.1,0.0053459,3.25e-11,0,0,147.906,1.94602e+07,1
100,220,0,0.1,-0.0150806,2e-11,0,0,149.4,1.94616e+07,1
