vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,24.2741,-2.86101,9.13848e-16,0,0,1.85695e+07,1
1,72.094,0,0.1,23.4519,-0.0159925,0,0,1.494,1.85992e+07,1
2,73.588,0,0.1,22.4537,0.0044175,0,0,2.988,1.86304e+07,1
3,75.082,0,0.1,21.5051,0.00217,0,1,4.482,1.86618e+07,1
4,76.576,0,0.1,20.5732,0.007225,0,0,5.976,1.86936e+07,1
5,78.07,0,0.1,19.6979,0.018055,0,0,7.47,1.87254e+07,1
6,79.564,0,0.1,18.8724,0.0266975,0,0,8.964,1.87575e+07,1
7,81.058,0,0.1,18.0297,-0.0027675,0,0,10.458,1.87896e+07,1
8,82.552,0,0.1,17.3095,-0.0563798,5.55e-34,0,11.952,1.88216e+07,1
9,84.046,0,0.1,16.7741,0.0048185,0,0,13.446,1.88534e+07,1
10,85.54,0,0.1,16.156,0.0550471,2.075e-34,0,14.94,1.8885e+07,1
11,87.034,0,0.1,15.3825,0.0297346,0,0,16.434,1.89162e+07,1
12,88.528,0,0.1,14.5406,0.00720908,0,0,17.928,1.8947e+07,1
13,90.022,0,0.1,13.6884,0.000961145,0,0,19.422,1.89773e+07,1
14,91.516,0,0.1,12.8453,7.58889e-05,0,0,20.916,1.90068e+07,1
15,93.01,0,0.1,12.0147,3.69751e-06,0,0,22.41,1.90356e+07,1
16,94.504,0,0.1,11.198,1.1571e-07,0,0,23.904,1.90636e+07,1
17,95.998,0,0.1,10.3969,2.37e-09,0,0,25.398,1.90906e+07,1
18,97.492,0,0.1,9.61421,3.5e-11,0,0,26.892,1.91166e+07,1
19,98.986,0,0.1,8.85299,2.5e-12,0,0,28.386,1.91418e+07,1
20,100.48,0,0.1,8.11654,5.33631e-20,0,0,29.88,1.9166e+07,1
21,101.974,0,0.1,7.40782,2.5e-12,0,0,31.374,1.91894e+07,1
22,103.468,0,0.1,6.72916,8.45974e-20,0,0,32.868,1.9212e+07,1
23,104.962,0,0.1,6.08207,5e-12,0,0,34.362,1.92337e+07,1
24,106.456,0,0.1,5.46743,-2.5e-12,0,0,35.856,1.92545e+07,1
25,107.95,0,0.1,4.88559,-2.5e-12,0,0,37.35,1.92744e+07,1
26,109.444,0,0.1,4.33653,-6.22569e-20,0,0,38.844,1.92934e+07,1
27,110.938,0,0.1,3.82013,2.5e-12,0,0,40.338,1.93114e+07,1
28,112.432,0,0.1,3.33621,-9.78852e-20,0,0,41.832,1.93282e+07,1
29,113.926,0,0.1,2.88463,-2.5e-12,0,0,43.326,1.9344e+07,1
30,115.42,0,0.1,2.46527,-6.76038e-20,0,0,44.82,1.93588e+07,1
31,116.914,0,0.1,2.07804,2.5e-12,0,0,46.314,1.93724e+07,1
32,118.408,0,0.1,1.72282,6.98802e-20,0,0,47.808,1.93849e+07,1
33,119.902,0,0.1,1.39949,-2.5e-12,0,0,49.302,1.93963e+07,1
34,121.396,0,0.1,1.10784,7.19978e-20,0,0,50.796,1.94066e+07,1
35,122.89,0,0.1,0.847628,1.09161e-19,0,0,52.29,1.94158e+07,1
36,124.384,0,0.1,0.618496,-2.5e-12,0,0,53.784,1.9424e+07,1
37,125.878,0,0.1,0.419966,3.73753e-20,0,0,55.278,1.9431e+07,1
38,127.372,0,0.1,0.251362,3.72694e-20,0,0,56.772,1.9437e+07,1
39,128.866,0,0.1,0.111721,-1.32349e-22,0,0,58.266,1.94418e+07,1
40,130.36,0,0.1,-0.00036384,-2.5e-12,0,0,59.76,1.94458e+07,1
41,131.854,0,0.1,-0.0863829,-2.5e-12,0,0,61.254,1.94488e+07,1
42,133.348,0,0.1,-0.150911,0,0,0,62.748,1.94512e+07,1
43,134.842,0,0.1,-0.198658,5.29396e-23,0,0,64.242,1.94528e+07,1
44,136.336,0,0.1,-0.234351,-1.05879e-22,0,0,65.736,1.94541e+07,1
45,137.83,0,0.1,-0.262704,7.93035e-20,0,0,67.23,1.94551e+07,1
46,139.324,0,0.1,-0.287259,0,0,0,68.724,1.9456e+07,1
47,140.818,0,0.1,-0.309637,1.38066e-19,0,0,70.218,1.94568e+07,1
48,142.312,0,0.1,-0.330046,-2.5e-12,0,0,71.712,1.94574e+07,1
49,143.806,0,0.1,-0.346848,1.05879e-22,0,0,73.206,1.9458e+07,1
50,145.3,0,0.1,-0.358739,2.5e-12,0,0,74.7,1.94584e+07,1
51,146.794,0,0.1,-0.364098,0,0,0,76.194,1.94586e+07,1
52,148.288,0,0.1,-0.362859,-5.29396e-23,0,0,77.688,1.94586e+07,1
53,149.782,0,0.1,-0.355717,-2.5e-12,0,0,79.182,1.94584e+07,1
54,151.276,0,0.1,-0.344404,-2.5e-12,0,0,80.676,1.9458e+07,1
55,152.77,0,0.1,-0.331057,-2.5e-12,0,0,82.17,1.94574e+07,1
56,154.264,0,0.1,-0.317842,0,0,0,83.664,1.9457e+07,1
57,155.758,0,0.1,-0.306199,5.73865e-20,0,0,85.158,1.94566e+07,1
58,157.252,0,0.1,-0.296938,0,0,0,86.652,1.94562e+07,1
59,158.746,0,0.1,-0.290274,9.50265e-20,0,0,88.146,1.9456e+07,1
60,160.24,0,0.1,-0.285785,0,0,0,89.64,1.94558e+07,1
61,161.734,0,0.1,-0.283049,-5e-12,0,0,91.134,1.94557e+07,1
62,163.228,0,0.1,-0.281532,-7.16272e-20,0,0,92.628,1.94556e+07,1
63,164.722,0,0.1,-0.280946,2.5e-12,0,0,94.122,1.94556e+07,1
64,166.216,0,0.1,-0.281221,5.29396e-23,0,0,95.616,1.94556e+07,1
65,167.71,0,0.1,-0.282465,-2.5e-12,0,0,97.11,1.94556e+07,1
66,169.204,0,0.1,-0.285049,-2.5e-12,0,0,98.604,1.94557e+07,1
67,170.698,0,0.1,-0.289434,-1.33249e-19,0,0,100.098,1.94558e+07,1
68,172.192,0,0.1,-0.296221,-1.05879e-22,0,0,101.592,1.9456e+07,1
69,173.686,0,0.1,-0.30591,2.5e-12,0,0,103.086,1.94564e+07,1
70,175.18,0,0.1,-0.319068,1.05879e-22,0,0,104.58,1.94568e+07,1
71,176.674,0,0.1,-0.335528,5.29396e-23,0,0,106.074,1.94574e+07,1
72,178.168,0,0.1,-0.354701,2.5e-12,0,0,107.568,1.9458e+07,1
73,179.662,0,0.1,-0.375587,-5e-12,0,0,109.062,1.94586e+07,1
74,181.156,0,0.1,-0.396399,5.29396e-23,0,0,110.556,1.94592e+07,1
75,182.65,0,0.1,-0.415334,-2.5e-12,0,0,112.05,1.94598e+07,1
76,184.144,0,0.1,-0.431055,-6.98273e-20,0,0,113.544,1.946e+07,1
77,185.638,0,0.1,-0.442957,2.5e-12,0,0,115.038,1.946e+07,1
78,187.132,0,0.1,-0.451375,-5e-12,0,0,116.532,1.94598e+07,1
79,188.626,0,0.1,-0.457532,-7.11508e-20,0,0,118.026,1.94592e+07,1
80,190.12,0,0.1,-0.46323,-6.52215e-20,0,0,119.52,1.94586e+07,1
81,191.614,0,0.1,-0.46984,6.69156e-20,0,0,121.014,1.9458e+07,1
82,193.108,0,0.1,-0.478278,-2.5e-12,0,0,122.508,1.94574e+07,1
83,194.602,0,0.1,-0.488152,-2.5e-12,8.40779e-45,0,124.002,1.94572e+07,1
84,196.096,0,0.1,-0.498338,-8.68738e-20,1.82169e-44,0,125.496,1.94573e+07,1
85,197.59,0,0.1,-0.507235,6.96155e-20,8.40779e-45,0,126.99,1.94578e+07,1
86,199.084,0,0.1,-0.512994,2.5e-12,-1.82169e-44,0,128.484,1.94586e+07,1
87,200.578,0,0.1,-0.514179,-2.5e-12,0,0,129.978,1.94597e+07,1
88,202.072,0,0.1,-0.509902,-2.5e-12,0,0,131.472,1.94608e+07,1
89,203.566,0,0.1,-0.499928,2.5e-12,5.32493e-44,0,132.966,1.94618e+07,1
90,205.06,0,0.1,-0.484808,2.5e-12,0,0,134.46,1.94626e+07,1
91,206.554,0,0.1,-0.465631,2.5e-12,0,0,135.954,1.94632e+07,1
92,208.048,0,0.1,-0.444236,1.58819e-22,0,0,137.448,1.94633e+07,1
93,209.542,0,0.1,-0.422417,1.32455e-19,0,0,138.942,1.94633e+07,1
94,211.036,0,0.1,-0.40204,-2.5e-12,0,0,140.436,1.9463e+07,1
95,212.53,0,0.1,-0.384438,-1.09161e-19,0,0,141.93,1.94628e+07,1
96,214.024,0,0.1,-0.370513,5e-12,1.82169e-44,0,143.424,1.94624e+07,1
97,215.518,0,0.1,-0.360298,-3e-11,-1.82169e-44,0,144.918,1.94622e+07,1
98,217.012,0,0.1,-0.353587,6.25e-11,0,0,146.412,1.9462e+07,1
99,218.506,0,0.1,-0.349809,2e-11,0,0,147.906,1.94618e+07,1
100,220,0,0.1,-0.348506,5e-12,0,0,149.4,1.94616e+07,1
