vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(vtkOriginalCellIds),vtkValidPointMask
1,0,2,0,0,76.2,0,0,76.2,1.8e+07,0.5,76.2,0,0,76.2,1.8e+07,1,76.2,0,0,76.2,1.8e+07,0,76.2,0,0,76.2,1.8e+07,0,76.2,0,0,76.2,1.8e+07,0,76.2,0,0,76.2,1.8e+07,1,0,0,0,0,0,0.707107,1
1,1,2,0.01005,0,76.2,4.99156e-13,0,76.2,1.8e+07,0.5,76.2,5.75298e-08,0,76.2,1.8e+07,1,76.2,4.99156e-13,0,76.2,1.8e+07,0,76.2,-5.75288e-08,0,76.2,1.8e+07,0,76.2,-5.75288e-08,0,76.2,1.8e+07,0,76.2,5.75298e-08,0,76.2,1.8e+07,1,0,8.13587e-08,0,0,0,0.707107,1
1,2,2,0.01995,0,76.2,-9.9476e-14,0,76.2,1.8e+07,0.5,76.2,3.41019e-08,0,76.2,1.8e+07,1,76.2,-9.9476e-14,0,76.2,1.8e+07,0,76.2,-3.41021e-08,0,76.2,1.8e+07,0,76.2,-3.41021e-08,0,76.2,1.8e+07,0,76.2,3.41019e-08,0,76.2,1.8e+07,1,0,4.82275e-08,0,0,0,0.707107,1
1,3,2,0.03,0,76.2,0,0,76.2,1.8e+07,0.5,76.2,2.17432e-08,0,76.2,1.8e+07,1,76.2,0,0,76.2,1.8e+07,0,76.2,-2.17432e-08,0,76.2,1.8e+07,0,76.2,-2.17432e-08,0,76.2,1.8e+07,0,76.2,2.17432e-08,0,76.2,1.8e+07,1,0,3.07495e-08,0,0,0,0.707107,1
1,4,2,0.04005,0,76.2,6.50147e-13,0,76.2,1.8e+07,0.5,76.2,1.45685e-08,0,76.2,1.8e+07,1,76.2,6.50147e-13,0,76.2,1.8e+07,0,76.2,-1.45672e-08,0,76.2,1.8e+07,0,76.2,-1.45672e-08,0,76.2,1.8e+07,0,76.2,1.45685e-08,0,76.2,1.8e+07,1,0,2.06021e-08,0,0,0,0.707107,1
1,5,2,0.04995,0,76.2,-1.00364e-13,0,76.2,1.8e+07,0.5,76.2,1.0106e-08,0,76.2,1.8e+07,1,76.2,-1.00364e-13,0,76.2,1.8e+07,0,76.2,-1.01062e-08,0,76.2,1.8e+07,0,76.2,-1.01062e-08,0,76.2,1.8e+07,0,76.2,1.0106e-08,0,76.2,1.8e+07,1,0,1.42922e-08,0,0,0,0.707107,1
1,6,2,0.06,0,76.2,1.30118e-13,0,76.2,1.8e+07,0.5,76.2,7.0977e-09,0,76.2,1.8e+07,1,76.2,1.30118e-13,0,76.2,1.8e+07,0,76.2,-7.09744e-09,0,76.2,1.8e+07,0,76.2,-7.09744e-09,0,76.2,1.8e+07,0,76.2,7.0977e-09,0,76.2,1.8e+07,1,0,1.00375e-08,0,0,0,0.707107,1
1,7,2,0.07005,0,76.2,1.89848e-13,0,76.2,1.8e+07,0.5,76.2,5.03817e-09,0,76.2,1.8e+07,1,76.2,1.89848e-13,0,76.2,1.8e+07,0,76.2,-5.03779e-09,0,76.2,1.8e+07,0,76.2,-5.03779e-09,0,76.2,1.8e+07,0,76.2,5.03817e-09,0,76.2,1.8e+07,1,0,7.12478e-09,0,0,0,0.707107,1
1,8,2,0.07995,0,76.2,-2.55018e-13,0,76.2,1.8e+07,0.5,76.2,3.61353e-09,0,76.2,1.8e+07,1,76.2,-2.55018e-13,0,76.2,1.8e+07,0,76.2,-3.61404e-09,0,76.2,1.8e+07,0,76.2,-3.61404e-09,0,76.2,1.8e+07,0,76.2,3.61353e-09,0,76.2,1.8e+07,1,0,5.11066e-09,0,0,0,0.707107,1
1,9,2,0.09,0,76.2,-6.95e-13,0,76.2,1.8e+07,0.5,76.2,2.60277e-09,0,76.2,1.8e+07,1,76.2,-6.95e-13,0,76.2,1.8e+07,0,76.2,-2.60416e-09,0,76.2,1.8e+07,0,76.2,-2.60416e-09,0,76.2,1.8e+07,0,76.2,2.60277e-09,0,76.2,1.8e+07,1,0,3.68186e-09,0,0,0,0.707107,1
