vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
1,0,200,0,0,53.8815,-53.8815,0,76.2,99.5,53.8815,-53.8815,0,76.2,199,53.8815,-53.8815,0,76.2,99,53.8815,-53.8815,0,76.2,0,53.8815,-53.8815,0,76.2,49,53.8815,-53.8815,0,76.2,149,0,0,0,0,57.8792,1
1,1,200,0.01005,0,50.4574,-48.4796,-2.04314e-16,77.2754,99.5,101.447,-2.00511,3.1588e-14,103.285,199,53.4356,-53.4182,0,74.8764,99,1.09122,-83.9587,-2.42857e-14,59.5409,0,30.0102,-68.9848,-1.5632e-15,68.7452,49,67.142,-28.4348,7.9122e-16,83.652,149,25.6692,23.5283,7.27811e-15,11.4812,57.8792,1
1,2,200,0.01995,0,50.6149,-49.3726,-2.02625e-16,77.9698,99.5,104.137,-1.98095,3.21527e-14,107.307,199,51.1104,-51.3331,0,73.1654,99,1.15191,-97.7417,-2.45972e-14,56.3311,0,29.8392,-68.7973,-1.54807e-15,64.3294,49,68.5007,-27.8031,7.776e-16,91.3415,149,26.485,25.4877,7.28936e-15,16.306,57.8792,1
1,3,200,0.03,0,50.1622,-49.0416,-2.03492e-16,77.4291,99.5,103.773,-1.97335,3.22002e-14,107.031,199,50.7408,-50.229,0,73.3845,99,0.795815,-99.3674,-2.46376e-14,55.4125,0,28.5192,-67.4088,-1.54954e-15,61.4649,49,68.2043,-27.6724,7.76942e-16,92.7874,149,26.6813,25.6639,7.30506e-15,17.064,57.8792,1
1,4,200,0.04005,0,50.2891,-49.2362,-2.03397e-16,77.6918,99.5,104.038,-1.9755,3.21885e-14,107.328,199,50.8902,-50.3617,0,73.8131,99,0.733936,-100.041,-2.46282e-14,55.5728,0,28.5719,-67.6662,-1.54867e-15,61.5077,49,68.3352,-27.753,7.76013e-16,93.4834,149,26.7738,25.8214,7.30231e-15,17.1849,57.8792,1
1,5,200,0.04995,0,50.2887,-49.2389,-2.03383e-16,77.6945,99.5,104.037,-1.9753,3.21888e-14,107.33,199,50.8908,-50.3522,0,73.8162,99,0.728538,-100.066,-2.46283e-14,55.556,0,28.5713,-67.6682,-1.54869e-15,61.5078,49,68.3363,-27.7543,7.75994e-16,93.5107,149,26.7771,25.8267,7.30239e-15,17.1922,57.8792,1
1,6,200,0.06,0,50.2708,-49.2141,-2.03413e-16,77.6612,99.5,104.008,-1.97468,3.21908e-14,107.295,199,50.8727,-50.3202,0,73.7742,99,0.727261,-100.012,-2.46296e-14,55.5179,0,28.5571,-67.6292,-1.54881e-15,61.4808,49,68.323,-27.7459,7.7613e-16,93.4579,149,26.772,25.8109,7.30304e-15,17.1877,57.8792,1
1,7,200,0.07005,0,49.8232,-48.8012,-2.03929e-16,76.9897,99.5,103.062,-1.95779,3.22331e-14,106.351,199,50.3994,-49.8769,0,73.1707,99,0.74179,-99.1852,-2.46623e-14,55.0167,0,28.3174,-67.0715,-1.55177e-15,60.9582,49,67.6832,-27.4983,7.77957e-16,92.7126,149,26.527,25.6063,7.31468e-15,17.0444,57.8792,1
1,8,200,0.07995,0,49.7738,-48.7548,-2.03942e-16,76.9158,99.5,102.96,-1.9554,3.22268e-14,106.238,199,50.3582,-49.833,0,73.1137,99,0.721521,-99.0944,-2.4657e-14,54.969,0,28.2888,-67.0209,-1.55163e-15,60.8851,49,67.6158,-27.4729,7.77939e-16,92.6294,149,26.5023,25.5818,7.31368e-15,17.026,57.8792,1
1,9,200,0.09,0,49.9915,-48.9489,-2.03708e-16,77.2359,99.5,103.405,-1.96438,3.22132e-14,106.682,199,50.6012,-50.0275,0,73.3834,99,0.727203,-99.4645,-2.46459e-14,55.1891,0,28.4007,-67.276,-1.55045e-15,61.1369,49,67.9492,-27.5982,7.77221e-16,92.9637,149,26.6211,25.6757,7.30952e-15,17.0971,57.8792,1
1,10,200,0.10005,0,50.0129,-48.972,-2.03675e-16,77.2708,99.5,103.449,-1.96468,3.22118e-14,106.731,199,50.6185,-50.0516,0,73.4267,99,0.73063,-99.517,-2.46449e-14,55.2003,0,28.4174,-67.3125,-1.55032e-15,61.1688,49,67.9716,-27.6092,7.77115e-16,93.0097,149,26.6324,25.6889,7.30912e-15,17.1058,57.8792,1
1,11,200,0.10995,0,50.0139,-48.973,-2.03669e-16,77.2721,99.5,103.448,-1.96455,3.22118e-14,106.731,199,50.6211,-50.0457,0,73.4293,99,0.731308,-99.5219,-2.46448e-14,55.1872,0,28.4178,-67.3152,-1.55031e-15,61.1708,49,67.9747,-27.6107,7.77105e-16,93.0143,149,26.6334,25.6902,7.30918e-15,17.1085,57.8792,1
1,12,200,0.12,0,50.0133,-48.9725,-2.03665e-16,77.2712,99.5,103.444,-1.96437,3.2212e-14,106.727,199,50.6228,-50.0401,0,73.4313,99,0.73221,-99.5225,-2.46447e-14,55.1742,0,28.4177,-67.3172,-1.5503e-15,61.1701,49,67.9758,-27.6116,7.77101e-16,93.015,149,26.6333,25.6906,7.30925e-15,17.11,57.8792,1
1,13,200,0.13005,0,50.0158,-48.9749,-2.03655e-16,77.2749,99.5,103.445,-1.9643,3.22119e-14,106.729,199,50.6281,-50.038,0,73.4371,99,0.733029,-99.5281,-2.46444e-14,55.165,0,28.4194,-67.323,-1.55028e-15,61.1733,49,67.9815,-27.6143,7.77087e-16,93.0202,149,26.635,25.6922,7.30926e-15,17.1124,57.8792,1
1,14,200,0.13995,0,50.0124,-48.9717,-2.03654e-16,77.2697,99.5,103.435,-1.96402,3.22123e-14,106.719,199,50.6269,-50.03,0,73.4346,99,0.733996,-99.5224,-2.46446e-14,55.1493,0,28.4179,-67.321,-1.55029e-15,61.1695,49,67.9787,-27.6135,7.77096e-16,93.0151,149,26.6334,25.691,7.3094e-15,17.1127,57.8792,1
1,15,200,0.15,0,50.0131,-48.9727,-2.03648e-16,77.2709,99.5,103.432,-1.96388,3.22124e-14,106.717,199,50.6301,-50.0263,0,73.4388,99,0.734872,-99.5255,-2.46444e-14,55.1383,0,28.4188,-67.3252,-1.55028e-15,61.1708,49,67.9815,-27.6151,7.77087e-16,93.0182,149,26.6339,25.6921,7.30944e-15,17.1145,57.8792,1
1,16,200,0.16005,0,50.0121,-48.9716,-2.03643e-16,77.2691,99.5,103.426,-1.96373,3.22126e-14,106.712,199,50.6317,-50.0207,0,73.4392,99,0.735774,-99.5235,-2.46444e-14,55.1253,0,28.4186,-67.326,-1.55027e-15,61.1702,49,67.9828,-27.6158,7.77087e-16,93.0164,149,26.6336,25.6917,7.30953e-15,17.1153,57.8792,1
1,17,200,0.16995,0,50.0097,-48.9697,-2.03642e-16,77.2656,99.5,103.413,-1.9637,3.22127e-14,106.701,199,50.6325,-50.0148,0,73.4387,99,0.736617,-99.5191,-2.46443e-14,55.1125,0,28.4181,-67.3259,-1.55028e-15,61.1705,49,67.9833,-27.6167,7.77092e-16,93.0128,149,26.6317,25.6906,7.30962e-15,17.1143,57.8792,1
1,18,200,0.18,0,50.0091,-48.9702,-2.03644e-16,77.2653,99.5,103.387,-1.96453,3.22118e-14,106.68,199,50.6392,-50.0149,0,73.4416,99,0.737297,-99.5132,-2.46434e-14,55.109,0,28.421,-67.3295,-1.55029e-15,61.1843,49,67.9936,-27.6225,7.77097e-16,93.0087,149,26.6278,25.6884,7.3096e-15,17.1063,57.8792,1
1,19,200,0.19005,0,50.007,-48.9714,-2.03665e-16,77.2638,99.5,103.305,-1.96775,3.2208e-14,106.611,199,50.6582,-50.0308,0,73.4449,99,0.737549,-99.4854,-2.46403e-14,55.1295,0,28.4325,-67.3344,-1.55033e-15,61.2347,49,68.0217,-27.6393,7.77134e-16,92.9875,149,26.6128,25.6785,7.30931e-15,17.0717,57.8792,1
1,20,200,0.19995,0,50.0043,-48.9759,-2.03732e-16,77.264,99.5,103.097,-1.97645,3.21964e-14,106.431,199,50.7116,-50.0926,0,73.4498,99,0.737252,-99.4005,-2.46314e-14,55.2187,0,28.4713,-67.3436,-1.55044e-15,61.3776,49,68.0905,-27.6821,7.77249e-16,92.9221,149,26.5731,25.6503,7.30826e-15,16.9713,57.8792,1
1,21,200,0.21,0,50.0054,-48.9883,-2.03882e-16,77.2729,99.5,102.672,-1.99489,3.21688e-14,106.048,199,50.8655,-50.2589,0,73.4549,99,0.73735,-99.1948,-2.46112e-14,55.4662,0,28.577,-67.3569,-1.5507e-15,61.7023,49,68.2266,-27.7719,7.7753e-16,92.7618,149,26.4891,25.5873,7.30558e-15,16.7422,57.8792,1
1,22,200,0.22005,0,50.023,-49.0162,-2.04131e-16,77.3069,99.5,102.002,-2.02497,3.21199e-14,105.422,199,51.0755,-50.5962,0,73.4535,99,0.742346,-98.8109,-2.45769e-14,55.9668,0,28.7997,-67.4241,-1.55116e-15,62.2703,49,68.4369,-27.9111,7.78051e-16,92.4625,149,26.3568,25.4817,7.3005e-15,16.345,57.8792,1
1,23,200,0.22995,0,50.1974,-49.1841,-2.04284e-16,77.5722,99.5,101.459,-2.06745,3.20503e-14,104.907,199,51.3939,-50.9738,0,73.6146,99,0.760985,-98.5016,-2.45304e-14,56.8253,0,29.1378,-67.7342,-1.5511e-15,63.1126,49,68.6568,-28.2583,7.78309e-16,92.2616,149,26.2706,25.4145,7.29118e-15,15.8754,57.8792,1
1,24,200,0.24,0,50.3257,-49.3131,-2.04348e-16,77.7697,99.5,100.771,-2.10528,3.20015e-14,104.351,199,51.7059,-51.6912,0,73.6923,99,0.802625,-98.0311,-2.44992e-14,57.7147,0,29.5154,-68.1191,-1.55156e-15,63.7971,49,68.6786,-28.4885,7.78743e-16,91.9632,149,26.1567,25.3481,7.28475e-15,15.4138,57.8792,1
