vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,50.6,40,0.1,22.2944,2.70946,6.62035e-16,0,0,1.86624e+07,1
1,50.788,40,0.1,22.3785,1.04479,0,0,0.188,1.86658e+07,1
2,50.976,40,0.1,22.2402,0.473165,0,0,0.376003,1.867e+07,1
3,51.164,40,0.1,22.0737,0.224395,0,0,0.564003,1.86742e+07,1
4,51.352,40,0.1,21.9105,0.11165,0,0,0.752003,1.86784e+07,1
5,51.54,40,0.1,21.7568,0.0607425,0,0,0.940002,1.86826e+07,1
6,51.728,40,0.1,21.609,0.0362025,0,0,1.128,1.86868e+07,1
7,51.916,40,0.1,21.4641,0.02221,0,0,1.316,1.8691e+07,1
8,52.104,40,0.1,21.3208,0.013045,0,0,1.504,1.86952e+07,1
9,52.292,40,0.1,21.1791,0.0066225,0,0,1.692,1.86994e+07,1
10,52.48,40,0.1,21.0394,0.002215,0,0,1.88,1.87036e+07,1
11,52.668,40,0.1,20.9016,-0.0008575,0,0,2.068,1.87078e+07,1
12,52.856,40,0.1,20.7655,-0.0032,0,0,2.256,1.87121e+07,1
13,53.044,40,0.1,20.6307,-0.0047525,0,0,2.444,1.87163e+07,1
14,53.232,40,0.1,20.4972,-0.0055275,0,0,2.632,1.87206e+07,1
15,53.42,40,0.1,20.3648,-0.0057325,0,0,2.82,1.87248e+07,1
16,53.608,40,0.1,20.2334,-0.005555,0,0,3.008,1.8729e+07,1
17,53.796,40,0.1,20.103,-0.00513,0,0,3.196,1.87333e+07,1
18,53.984,40,0.1,19.9735,-0.004565,0,0,3.384,1.87376e+07,1
19,54.172,40,0.1,19.8447,-0.003945,0,0,3.572,1.87418e+07,1
20,54.36,40,0.1,19.7168,-0.0033375,0,0,3.76,1.8746e+07,1
21,54.548,40,0.1,19.5895,-0.00278,0,0,3.948,1.87504e+07,1
22,54.736,40,0.1,19.4628,-0.0022825,0,0,4.136,1.87546e+07,1
23,54.924,40,0.1,19.3366,-0.0018525,0,0,4.324,1.87588e+07,1
24,55.112,40,0.1,19.2107,-0.00149,0,0,4.512,1.87631e+07,1
25,55.3,40,0.1,19.0852,-0.001185,0,0,4.7,1.87674e+07,1
26,55.488,40,0.1,18.96,-0.000925,0,0,4.888,1.87716e+07,1
27,55.676,40,0.1,18.8349,-0.000705,0,0,5.076,1.87758e+07,1
28,55.864,40,0.1,18.7101,-0.0005325,0,0,5.264,1.87801e+07,1
29,56.052,40,0.1,18.5855,-0.0004225,0,0,5.452,1.87844e+07,1
30,56.24,40,0.1,18.461,-0.0003975,0,0,5.64,1.87886e+07,1
31,56.428,40,0.1,18.3364,-0.00047,0,0,5.828,1.87928e+07,1
32,56.616,40,0.1,18.2119,-0.0006275,0,0,6.016,1.87971e+07,1
33,56.804,40,0.1,18.0874,-0.0008575,0,0,6.204,1.88014e+07,1
34,56.992,40,0.1,17.9627,-0.0011575,0,0,6.392,1.88056e+07,1
35,57.18,40,0.1,17.8381,-0.0015275,0,0,6.58,1.88098e+07,1
36,57.368,40,0.1,17.7133,-0.001965,0,0,6.768,1.8814e+07,1
37,57.556,40,0.1,17.5884,-0.00245,0,0,6.956,1.88183e+07,1
38,57.744,40,0.1,17.4635,-0.0029525,0,0,7.144,1.88225e+07,1
39,57.932,40,0.1,17.3385,-0.00346,0,0,7.332,1.88268e+07,1
40,58.12,40,0.1,17.2134,-0.0039575,0,0,7.52,1.8831e+07,1
41,58.308,40,0.1,17.0884,-0.0044275,0,0,7.708,1.88352e+07,1
42,58.496,40,0.1,16.9634,-0.0048575,0,0,7.896,1.88394e+07,1
43,58.684,40,0.1,16.8387,-0.00524,0,0,8.084,1.88436e+07,1
44,58.872,40,0.1,16.7143,-0.0055825,0,0,8.272,1.88479e+07,1
45,59.06,40,0.1,16.5903,-0.0059075,0,0,8.46,1.88521e+07,1
46,59.248,40,0.1,16.4667,-0.00624,0,0,8.648,1.88563e+07,1
47,59.436,40,0.1,16.344,-0.0066125,0,0,8.836,1.88605e+07,1
48,59.624,40,0.1,16.222,-0.007075,0,0,9.024,1.88646e+07,1
49,59.812,40,0.1,16.101,-0.00767,0,0,9.212,1.88688e+07,1
50,60,40,0.1,15.9811,-0.0084425,0,0,9.4,1.8873e+07,1
51,60.188,40,0.1,15.8625,-0.009435,0,0,9.588,1.88772e+07,1
52,60.376,40,0.1,15.7452,-0.0106675,0,0,9.776,1.88814e+07,1
53,60.564,40,0.1,15.6294,-0.012145,0,0,9.964,1.88855e+07,1
54,60.752,40,0.1,15.5152,-0.0138475,0,0,10.152,1.88897e+07,1
55,60.94,40,0.1,15.4024,-0.01572,0,0,10.34,1.88938e+07,1
56,61.128,40,0.1,15.2914,-0.0177,0,0,10.528,1.8898e+07,1
57,61.316,40,0.1,15.1819,-0.0197325,0,0,10.716,1.89022e+07,1
58,61.504,40,0.1,15.0739,-0.0217825,0,0,10.904,1.89062e+07,1
59,61.692,40,0.1,14.9674,-0.0238225,0,0,11.092,1.89104e+07,1
60,61.88,40,0.1,14.8621,-0.02582,0,0,11.28,1.89145e+07,1
61,62.068,40,0.1,14.7581,-0.0277425,0,0,11.468,1.89186e+07,1
62,62.256,40,0.1,14.6552,-0.029545,0,0,11.656,1.89228e+07,1
63,62.444,40,0.1,14.5532,-0.03118,0,0,11.844,1.89268e+07,1
64,62.632,40,0.1,14.4519,-0.0326075,0,0,12.032,1.8931e+07,1
65,62.82,40,0.1,14.3512,-0.0337975,0,0,12.22,1.8935e+07,1
