vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,40.7001,-4.75838,8.36558e-16,0,0,1.79984e+07,1
1,72.094,0,0.1,41.0383,-0.0116775,0,0,1.494,1.80002e+07,1
2,73.588,0,0.1,40.9392,0.0002725,0,0,2.988,1.80035e+07,1
3,75.082,0,0.1,40.8383,0.0064625,0,1,4.482,1.80074e+07,1
4,76.576,0,0.1,40.7768,0.0170725,0,0,5.976,1.80123e+07,1
5,78.07,0,0.1,40.6843,0.0037525,0,0,7.47,1.80181e+07,1
6,79.564,0,0.1,40.6154,-0.0557365,0,0,8.964,1.80248e+07,1
7,81.058,0,0.1,40.7556,-0.00582125,0,0,10.458,1.80324e+07,1
8,82.552,0,0.1,40.8354,0.0675337,2.65e-34,0,11.952,1.80408e+07,1
9,84.046,0,0.1,40.6921,0.0405219,0,0,13.446,1.805e+07,1
10,85.54,0,0.1,40.4198,0.00999498,1.5e-35,0,14.94,1.80602e+07,1
11,87.034,0,0.1,40.0891,0.00129394,0,0,16.434,1.80714e+07,1
12,88.528,0,0.1,39.7245,9.6669e-05,0,0,17.928,1.80834e+07,1
13,90.022,0,0.1,39.3308,4.42783e-06,0,0,19.422,1.80965e+07,1
14,91.516,0,0.1,38.9083,1.31289e-07,0,0,20.916,1.81105e+07,1
15,93.01,0,0.1,38.457,2.536e-09,0,0,22.41,1.81255e+07,1
16,94.504,0,0.1,37.9772,3.288e-11,0,0,23.904,1.81414e+07,1
17,95.998,0,0.1,37.4691,-3.5e-13,0,0,25.398,1.81584e+07,1
18,97.492,0,0.1,36.9329,-1.25e-13,0,0,26.892,1.81762e+07,1
19,98.986,0,0.1,36.3691,-8.25e-13,0,0,28.386,1.8195e+07,1
20,100.48,0,0.1,35.7783,-1e-12,0,0,29.88,1.82147e+07,1
21,101.974,0,0.1,35.161,-7.5e-13,0,0,31.374,1.82354e+07,1
22,103.468,0,0.1,34.5181,9.52912e-21,0,0,32.868,1.82568e+07,1
23,104.962,0,0.1,33.8503,-2.5e-13,0,0,34.362,1.82792e+07,1
24,106.456,0,0.1,33.1585,-2.5e-13,0,0,35.856,1.83024e+07,1
25,107.95,0,0.1,32.4438,-5e-13,0,0,37.35,1.83263e+07,1
26,109.444,0,0.1,31.7073,2.5e-13,0,0,38.844,1.8351e+07,1
27,110.938,0,0.1,30.9503,5e-13,0,0,40.338,1.83766e+07,1
28,112.432,0,0.1,30.174,1e-12,0,0,41.832,1.84026e+07,1
29,113.926,0,0.1,29.3797,-1.75e-12,0,0,43.326,1.84294e+07,1
30,115.42,0,0.1,28.5688,2.5e-13,0,0,44.82,1.84568e+07,1
31,116.914,0,0.1,27.743,2.5e-13,0,0,46.314,1.84848e+07,1
32,118.408,0,0.1,26.9039,1.25e-12,0,0,47.808,1.85131e+07,1
33,119.902,0,0.1,26.0527,-5e-13,0,0,49.302,1.8542e+07,1
34,121.396,0,0.1,25.1917,7.5e-13,0,0,50.796,1.85712e+07,1
35,122.89,0,0.1,24.3221,2.5e-13,0,0,52.29,1.86007e+07,1
36,124.384,0,0.1,23.4459,-7.5e-13,0,0,53.784,1.86305e+07,1
37,125.878,0,0.1,22.5646,2.5e-13,0,0,55.278,1.86605e+07,1
38,127.372,0,0.1,21.6803,1.3182e-20,0,0,56.772,1.86907e+07,1
39,128.866,0,0.1,20.7943,5e-13,0,0,58.266,1.87209e+07,1
40,130.36,0,0.1,19.9081,2.5e-13,0,0,59.76,1.87512e+07,1
41,131.854,0,0.1,19.023,2.5e-13,0,0,61.254,1.87813e+07,1
42,133.348,0,0.1,18.1397,-1e-12,0,0,62.748,1.88113e+07,1
43,134.842,0,0.1,17.2592,2.64698e-23,0,0,64.242,1.8841e+07,1
44,136.336,0,0.1,16.3827,5.29396e-23,0,0,65.736,1.88704e+07,1
45,137.83,0,0.1,15.512,3.68459e-20,0,0,67.23,1.88993e+07,1
46,139.324,0,0.1,14.6506,-2.5e-12,0,0,68.724,1.8928e+07,1
47,140.818,0,0.1,13.8027,2.5e-12,0,0,70.218,1.89562e+07,1
48,142.312,0,0.1,12.9733,-4.14252e-20,0,0,71.712,1.89842e+07,1
49,143.806,0,0.1,12.1667,-5.29396e-23,0,0,73.206,1.90119e+07,1
50,145.3,0,0.1,11.3862,5.29396e-23,0,0,74.7,1.90394e+07,1
51,146.794,0,0.1,10.6323,-5.29396e-23,0,0,76.194,1.90666e+07,1
52,148.288,0,0.1,9.9044,-2.5e-12,0,0,77.688,1.90934e+07,1
53,149.782,0,0.1,9.20033,5e-12,0,0,79.182,1.91196e+07,1
54,151.276,0,0.1,8.51785,-2.5e-12,0,0,80.676,1.91451e+07,1
55,152.77,0,0.1,7.85545,-2.5e-12,0,0,82.17,1.91697e+07,1
56,154.264,0,0.1,7.21266,0,0,0,83.664,1.91934e+07,1
57,155.758,0,0.1,6.59006,5.46601e-20,0,0,85.158,1.9216e+07,1
58,157.252,0,0.1,5.98898,-2.5e-12,0,0,86.652,1.92378e+07,1
59,158.746,0,0.1,5.41105,5.71747e-20,0,0,88.146,1.92584e+07,1
60,160.24,0,0.1,4.8579,-2.5e-12,0,0,89.64,1.9278e+07,1
61,161.734,0,0.1,4.33097,-2.5e-12,0,0,91.134,1.92966e+07,1
62,163.228,0,0.1,3.83136,2.5e-12,0,0,92.628,1.93142e+07,1
63,164.722,0,0.1,3.35993,6.22569e-20,0,0,94.122,1.93308e+07,1
64,166.216,0,0.1,2.91723,2.5e-12,0,0,95.616,1.93464e+07,1
65,167.71,0,0.1,2.50353,-2.11758e-22,0,0,97.11,1.93608e+07,1
66,169.204,0,0.1,2.11875,0,0,0,98.604,1.93743e+07,1
67,170.698,0,0.1,1.76245,-1.32719e-19,0,0,100.098,1.93866e+07,1
68,172.192,0,0.1,1.43387,2.5e-12,0,0,101.592,1.93978e+07,1
69,173.686,0,0.1,1.13215,6.80273e-20,0,0,103.086,1.94078e+07,1
70,175.18,0,0.1,0.856803,0,0,0,104.58,1.94166e+07,1
71,176.674,0,0.1,0.608202,0,0,0,106.074,1.94242e+07,1
72,178.168,0,0.1,0.387975,1.58819e-22,0,0,107.568,1.94308e+07,1
73,179.662,0,0.1,0.198858,-2.10541e-19,0,0,109.062,1.94364e+07,1
74,181.156,0,0.1,0.0439476,-5.29396e-23,0,0,110.556,1.9441e+07,1
75,182.65,0,0.1,-0.0740648,-2.5e-12,0,0,112.05,1.9445e+07,1
76,184.144,0,0.1,-0.154562,2.5e-12,0,0,113.544,1.94482e+07,1
77,185.638,0,0.1,-0.200842,5.29396e-23,0,0,115.038,1.94509e+07,1
78,187.132,0,0.1,-0.220114,2.5e-12,0,0,116.532,1.9453e+07,1
79,188.626,0,0.1,-0.223798,-7.57036e-20,0,0,118.026,1.94548e+07,1
80,190.12,0,0.1,-0.224527,-2.5e-12,0,0,119.52,1.94562e+07,1
81,191.614,0,0.1,-0.231514,6.4798e-20,0,0,121.014,1.94575e+07,1
82,193.108,0,0.1,-0.249203,-2.5e-12,0,0,122.508,1.94586e+07,1
83,194.602,0,0.1,-0.276444,2.5e-12,8.40779e-45,0,124.002,1.94594e+07,1
84,196.096,0,0.1,-0.308729,2.5e-12,1.82169e-44,0,125.496,1.94599e+07,1
85,197.59,0,0.1,-0.339449,7.62859e-20,8.40779e-45,0,126.99,1.94601e+07,1
