vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
84,196.096,0,0.1,-0.374606,-9.25913e-20,1.82169e-44,0,125.496,1.94616e+07,1
85,197.59,0,0.1,-0.378518,7.12037e-20,8.40779e-45,0,126.99,1.94622e+07,1
86,199.084,0,0.1,-0.378619,2.5e-12,-1.82169e-44,0,128.484,1.94626e+07,1
87,200.578,0,0.1,-0.374501,0,0,0,129.978,1.94626e+07,1
88,202.072,0,0.1,-0.367207,-2.11758e-22,0,0,131.472,1.94625e+07,1
89,203.566,0,0.1,-0.358928,2.5e-12,5.32493e-44,0,132.966,1.94622e+07,1
90,205.06,0,0.1,-0.352538,2.5e-12,0,0,134.46,1.94619e+07,1
91,206.554,0,0.1,-0.350664,2.5e-12,0,0,135.954,1.94618e+07,1
92,208.048,0,0.1,-0.355494,-5.29396e-23,0,0,137.448,1.94618e+07,1
93,209.542,0,0.1,-0.367817,2.5e-12,0,0,138.942,1.94619e+07,1
94,211.036,0,0.1,-0.387355,-6.96685e-20,0,0,140.436,1.94622e+07,1
95,212.53,0,0.1,-0.41245,-1.07679e-19,0,0,141.93,1.94624e+07,1
96,214.024,0,0.1,-0.440555,2.5e-12,1.82169e-44,0,143.424,1.94626e+07,1
97,215.518,0,0.1,-0.468067,-2.5e-11,-1.82169e-44,0,144.918,1.94627e+07,1
98,217.012,0,0.1,-0.49134,6.5e-11,0,0,146.412,1.94625e+07,1
99,218.506,0,0.1,-0.506877,2e-11,0,0,147.906,1.94621e+07,1
100,220,0,0.1,-0.512348,5e-12,0,0,149.4,1.94616e+07,1
