vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
1,0,200,0,0,30.1935,-30.1935,0,42.7001,99.5,30.1935,-30.1935,0,42.7001,199,30.1935,-30.1935,0,42.7001,99,30.1935,-30.1935,0,42.7001,0,30.1935,-30.1935,0,42.7001,49,30.1935,-30.1935,0,42.7001,149,0,0,0,0,57.8792,1
1,1,200,0.01,0,27.1825,-27.637,6.52154e-16,43.0263,99.5,51.4983,0.326536,7.81537e-14,52.3734,199,29.3999,-29.7224,0,42.4743,99,1.19348,-51.8103,-5.63625e-14,33.6941,0,15.6698,-38.1121,-2.69787e-15,39.3317,49,37.822,-15.4373,4.50439e-15,47.0594,149,13.665,13.6946,1.44512e-14,4.8936,57.8792,1
1,2,200,0.02,0,27.3713,-28.4077,6.45418e-16,43.5269,99.5,48.5111,-0.716797,7.79796e-14,58.5868,199,30.5577,-29.6775,0,41.4337,99,1.12914,-57.3711,-5.64022e-14,33.0868,0,15.9995,-37.8421,-2.63271e-15,38.2485,49,39.2416,-16.8046,4.45814e-15,47.3187,149,13.3871,14.4708,1.44128e-14,6.96457,57.8792,1
1,3,200,0.03,0,27.7182,-28.4522,6.36369e-16,43.794,99.5,53.6064,-0.667168,7.78213e-14,60.0097,199,29.3131,-28.8113,0,41.3686,99,1.12037,-58.2991,-5.70513e-14,31.9611,0,15.6003,-38.3886,-2.60915e-15,36.8247,49,39.1244,-17.1227,4.47194e-15,50.5852,149,14.134,14.7462,1.44266e-14,8.68457,57.8792,1
1,4,200,0.04,0,27.7219,-28.3339,6.36968e-16,43.7415,99.5,55.5501,-0.413641,7.82146e-14,60.3256,199,28.6884,-28.6233,0,41.1679,99,1.11855,-58.4654,-5.73376e-14,31.5072,0,15.6095,-38.4022,-2.60899e-15,35.5489,49,38.6805,-16.3635,4.48734e-15,51.9859,149,14.4217,14.9663,1.44715e-14,9.39418,57.8792,1
1,5,200,0.05,0,27.6805,-28.2373,6.37421e-16,43.6555,99.5,56.1042,-0.292434,7.83292e-14,60.2953,199,28.3259,-28.5264,0,41.3548,99,1.11602,-58.4022,-5.74023e-14,31.2931,0,15.587,-38.3272,-2.60899e-15,34.7598,49,37.9328,-16.0769,4.48885e-15,52.5168,149,14.5066,15.0279,1.44909e-14,9.60822,57.8792,1
1,6,200,0.06,0,27.5575,-28.1141,6.37855e-16,43.4701,99.5,56.0014,-0.110616,7.83852e-14,60.0924,199,28.1127,-28.4073,0,41.2128,99,1.11329,-58.2076,-5.74379e-14,31.1128,0,15.5292,-38.2083,-2.61059e-15,34.3816,49,37.7827,-15.9491,4.49203e-15,52.3775,149,14.4635,15.0043,1.45031e-14,9.63195,57.8792,1
1,7,200,0.07,0,27.6727,-28.2143,6.37362e-16,43.6408,99.5,56.2948,-0.0615214,7.83576e-14,60.2954,199,28.2174,-28.516,0,41.408,99,1.11627,-58.4018,-5.74162e-14,31.2298,0,15.5893,-38.3395,-2.60878e-15,34.4898,49,37.9623,-16.0088,4.48889e-15,52.6302,149,14.5363,15.0603,1.44963e-14,9.68015,57.8792,1
1,8,200,0.08,0,27.5939,-28.1251,6.37679e-16,43.5107,99.5,56.1516,-0.0295926,7.83814e-14,60.1144,199,28.1348,-28.4261,0,41.3013,99,1.1123,-58.2189,-5.74326e-14,31.1305,0,15.5393,-38.2042,-2.61007e-15,34.3822,49,37.8609,-15.954,4.49163e-15,52.49,149,14.4995,15.014,1.4502e-14,9.6548,57.8792,1
1,9,200,0.09,1,27.5607,-28.1051,6.37824e-16,43.4687,99.5,56.0674,-0.0347386,7.8393e-14,60.0755,199,28.0907,-28.4043,0,41.235,99,1.11267,-58.1864,-5.74406e-14,31.0877,0,15.5308,-38.203,-2.61059e-15,34.3504,49,37.8016,-15.9331,4.49216e-15,52.419,149,14.477,15.0095,1.45043e-14,9.6498,57.8792,1
1,10,200,0.1,0,27.6341,-28.1727,6.37538e-16,43.579,99.5,56.2285,-0.035526,7.83741e-14,60.2071,199,28.1666,-28.4761,0,41.3538,99,1.11455,-58.3142,-5.74256e-14,31.1655,0,15.5689,-38.2882,-2.60941e-15,34.4355,49,37.9126,-15.9821,4.49009e-15,52.5665,149,14.5188,15.0421,1.44995e-14,9.67248,57.8792,1
1,11,200,0.11,0,27.636,-28.1752,6.37528e-16,43.5824,99.5,56.2314,-0.0356851,7.83748e-14,60.2142,199,28.1686,-28.4781,0,41.3593,99,1.11452,-58.32,-5.74244e-14,31.1617,0,15.5704,-38.2914,-2.60935e-15,34.439,49,37.9166,-15.9846,4.48997e-15,52.569,149,14.5195,15.044,1.44994e-14,9.67397,57.8792,1
1,12,200,0.12,0,27.6374,-28.1765,6.37527e-16,43.5845,99.5,56.236,-0.0350022,7.83766e-14,60.2158,199,28.1666,-28.4791,0,41.3619,99,1.11445,-58.3208,-5.74245e-14,31.1553,0,15.5717,-38.2938,-2.60932e-15,34.4416,49,37.919,-15.9847,4.48991e-15,52.5732,149,14.5207,15.0449,1.44994e-14,9.67559,57.8792,1
1,13,200,0.13,0,27.6223,-28.1588,6.37598e-16,43.5589,99.5,56.2087,-0.0325168,7.8383e-14,60.1771,199,28.1481,-28.4612,0,41.3422,99,1.11354,-58.2811,-5.74281e-14,31.1298,0,15.5624,-38.2669,-2.60956e-15,34.4212,49,37.9007,-15.975,4.49046e-15,52.5478,149,14.5141,15.035,1.45006e-14,9.671,57.8792,1
1,14,200,0.14,0,27.5209,-28.0541,6.38033e-16,43.3982,99.5,56.0044,-0.0218341,7.84136e-14,59.9594,199,28.0388,-28.3545,0,41.1927,99,1.10952,-58.0679,-5.74503e-14,31.006,0,15.504,-38.1219,-2.61121e-15,34.2942,49,37.7614,-15.9093,4.49371e-15,52.3586,149,14.4619,14.9804,1.45078e-14,9.63768,57.8792,1
1,15,200,0.15,0,27.5558,-28.0956,6.37902e-16,43.4573,99.5,56.0662,-0.0375912,7.84056e-14,60.0402,199,28.0694,-28.397,0,41.2377,99,1.11154,-58.149,-5.74439e-14,31.0416,0,15.5299,-38.1931,-2.61062e-15,34.3406,49,37.8063,-15.9354,4.49241e-15,52.4216,149,14.4779,15.0036,1.45055e-14,9.65189,57.8792,1
1,16,200,0.16,0,27.5928,-28.1302,6.37763e-16,43.5133,99.5,56.1454,-0.0389924,7.83964e-14,60.1088,199,28.1086,-28.4343,0,41.3001,99,1.11245,-58.2158,-5.74358e-14,31.0788,0,15.5492,-38.2366,-2.61e-15,34.384,49,37.8642,-15.9614,4.49132e-15,52.4951,149,14.4985,15.0207,1.45031e-14,9.66324,57.8792,1
1,17,200,0.17,0,27.5947,-28.1324,6.37751e-16,43.5165,99.5,56.1493,-0.0396305,7.83974e-14,60.1138,199,28.1095,-28.4361,0,41.3049,99,1.1124,-58.2197,-5.74351e-14,31.0743,0,15.5508,-38.2397,-2.60995e-15,34.3876,49,37.8678,-15.9632,4.49122e-15,52.4984,149,14.4995,15.0222,1.4503e-14,9.6647,57.8792,1
1,18,200,0.18,0,27.5953,-28.133,6.37756e-16,43.5173,99.5,56.1517,-0.039579,7.83994e-14,60.1135,199,28.1068,-28.4371,0,41.3064,99,1.11231,-58.2189,-5.74352e-14,31.0673,0,15.5516,-38.2412,-2.60994e-15,34.389,49,37.8694,-15.9632,4.49119e-15,52.5011,149,14.5002,15.0226,1.45031e-14,9.66595,57.8792,1
