vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
100,70,0.6,0.1,1.30004,-14.1566,-1.26302e-16,0,38.8,1.89592e+07,1
99,70,0.988,0.1,0.229305,-14.6409,0,0,38.412,1.89519e+07,1
98,70,1.376,0.1,0.0186245,-14.8816,0,0,38.024,1.89439e+07,1
97,70,1.764,0.1,0.00147857,-15.1151,0,0,37.636,1.89359e+07,1
96,70,2.152,0.1,0.000116601,-15.3487,0,1,37.248,1.89279e+07,1
95,70,2.54,0.1,9.13961e-06,-15.5829,0,0,36.86,1.89198e+07,1
94,70,2.928,0.1,1.01698e-06,-15.8178,0,0,36.472,1.89116e+07,1
93,70,3.316,0.1,2.42727e-07,-16.0532,0,0,36.084,1.89036e+07,1
92,70,3.704,0.1,1.05034e-07,-16.2893,0,0,35.696,1.88954e+07,1
91,70,4.092,0.1,1.35164e-07,-16.5259,0,0,35.308,1.88871e+07,1
90,70,4.48,0.1,1.14852e-07,-16.7631,0,0,34.92,1.88788e+07,1
89,70,4.868,0.1,6.091e-08,-17.0008,0,0,34.532,1.88706e+07,1
88,70,5.256,0.1,2.2968e-08,-17.2391,0,0,34.144,1.88622e+07,1
87,70,5.644,0.1,6.975e-09,-17.4779,0,0,33.756,1.88539e+07,1
86,70,6.032,0.1,1.8725e-09,-17.7173,0,0,33.368,1.88455e+07,1
85,70,6.42,0.1,4.575e-10,-17.9573,0,0,32.98,1.88372e+07,1
84,70,6.808,0.1,1.0275e-10,-18.1977,0,0,32.592,1.88288e+07,1
83,70,7.196,0.1,1.9e-11,-18.4387,0,0,32.204,1.88204e+07,1
82,70,7.584,0.1,4.25e-12,-18.6803,0,0,31.816,1.88119e+07,1
81,70,7.972,0.1,-5e-13,-18.9223,0,0,31.428,1.88035e+07,1
80,70,8.36,0.1,2.5e-13,-19.1649,0,0,31.04,1.87951e+07,1
79,70,8.748,0.1,-2.5e-13,-19.4081,0,0,30.652,1.87866e+07,1
78,70,9.136,0.1,-5e-13,-19.6518,0,0,30.264,1.87782e+07,1
77,70,9.524,0.1,5e-13,-19.8959,0,0,29.876,1.87698e+07,1
76,70,9.912,0.1,-1.25e-12,-20.1405,0,0,29.488,1.87613e+07,1
75,70,10.3,0.1,-1e-12,-20.3856,0,0,29.1,1.87529e+07,1
74,70,10.688,0.1,-4.25e-12,-20.6311,0,0,28.712,1.87445e+07,1
73,70,11.076,0.1,-1.7e-11,-20.8771,0,0,28.324,1.87361e+07,1
72,70,11.464,0.1,-5.575e-11,-21.1234,0,0,27.936,1.87277e+07,1
71,70,11.852,0.1,-1.8075e-10,-21.37,0,0,27.548,1.87193e+07,1
70,70,12.24,0.1,-5.825e-10,-21.6169,0,0,27.16,1.87109e+07,1
69,70,12.628,0.1,-1.823e-09,-21.8642,0,0,26.772,1.87026e+07,1
68,70,13.016,0.1,-5.54375e-09,-22.1117,0,0,26.384,1.86942e+07,1
67,70,13.404,0.1,-1.63615e-08,-22.3593,0,0,25.996,1.8686e+07,1
66,70,13.792,0.1,-4.68073e-08,-22.607,0,0,25.608,1.86776e+07,1
65,70,14.18,0.1,-1.29464e-07,-22.8549,0,0,25.22,1.86694e+07,1
64,70,14.568,0.1,-3.49492e-07,-23.1026,0,0,24.832,1.86612e+07,1
63,70,14.956,0.1,-9.27728e-07,-23.3505,0,0,24.444,1.86528e+07,1
62,70,15.344,0.1,-2.37393e-06,-23.5981,0,0,24.056,1.86446e+07,1
61,70,15.732,0.1,-5.79785e-06,-23.8456,0,0,23.668,1.86364e+07,1
60,70,16.12,0.1,-1.36457e-05,-24.0928,0,0,23.28,1.86284e+07,1
59,70,16.508,0.1,-3.1024e-05,-24.3397,0,0,22.892,1.86202e+07,1
58,70,16.896,0.1,-6.81036e-05,-24.5861,0,0,22.504,1.86121e+07,1
57,70,17.284,0.1,-0.000144235,-24.8321,0,0,22.116,1.8604e+07,1
56,70,17.672,0.1,-0.000294482,-25.0775,0,0,21.728,1.85959e+07,1
55,70,18.06,0.1,-0.000579131,-25.3221,0,0,21.34,1.85879e+07,1
54,70,18.448,0.1,-0.00109607,-25.566,0,0,20.952,1.85799e+07,1
53,70,18.836,0.1,-0.00199444,-25.8088,0,0,20.564,1.85719e+07,1
52,70,19.224,0.1,-0.00348524,-26.0505,0,0,20.176,1.85639e+07,1
51,70,19.612,0.1,-0.00584127,-26.2904,0,0,19.788,1.8556e+07,1
50,70,20,0.1,-0.00937478,-26.5282,0,0,19.4,1.8548e+07,1
49,70,20.388,0.1,-0.0143792,-26.7631,0,0,19.012,1.85402e+07,1
48,70,20.776,0.1,-0.021024,-26.9943,0,0,18.624,1.85323e+07,1
47,70,21.164,0.1,-0.0292016,-27.2205,0,0,18.236,1.85244e+07,1
46,70,21.552,0.1,-0.0383472,-27.4403,0,0,17.848,1.85166e+07,1
45,70,21.94,0.1,-0.0472803,-27.6521,0,0,17.46,1.85088e+07,1
44,70,22.328,0.1,-0.054152,-27.8545,0,0,17.072,1.85011e+07,1
43,70,22.716,0.1,-0.0566047,-28.0457,0,0,16.684,1.84934e+07,1
42,70,23.104,0.1,-0.0522207,-28.2238,0,0,16.296,1.84856e+07,1
